r_max,z_max,nr,nz,omega_scale,zero_vs_monopole,monopole_vs_dipole,dipole_vs_quadrupole,zero_vs_dipole,richardson,boundary_over_richardson,relative_monopole,relative_axial_dipole,relative_axial_quadrupole
2.5,2.5,49,97,0.012014668743836318,7.42912076528972e-25,1.7894945608273483e-07,1.8768999874339267e-24,1.7894945608273483e-07,0.01441599235607218,1.2413259639899801e-05,1.1575085803585247e-18,0.5498501205538708,6.302733222136003e-17
2.5,2.5,97,193,0.012151069367171792,1.4878324438963691e-24,1.9601400314254763e-07,1.702543417365136e-25,1.9601400314254763e-07,0.003758249656333114,5.215566315884307e-05,5.721474181273023e-18,0.5436718680414565,1.0074345674518556e-19
2.5,2.5,193,385,0.012185332691257404,1.6634067510207732e-24,1.9877222798580985e-07,8.455905555260008e-27,1.9877222798580985e-07,0.0009774751911439691,0.00020335270888377293,1.3123384329442596e-17,0.5421417567799345,6.158945130938201e-18
1.6,1.9,49,97,0.012046838110120785,2.0929538169948508e-23,6.41625451361629e-07,6.273483617503974e-24,6.41625451361629e-07,0.007131633656794691,8.996893029555969e-05,1.451128025717281e-17,0.5483771625738659,2.4403083552286462e-17
1.6,1.9,97,193,0.012169299068698318,3.464762012916643e-24,6.44025143218981e-07,2.0222218188118655e-24,6.44025143218981e-07,0.0017852498226060033,0.000360747910496286,5.66055233229491e-18,0.5428563223604375,5.236451469898769e-18
1.6,1.9,193,385,0.012189546116059059,2.223631138851691e-18,6.443046472500513e-07,4.4521620450352e-24,6.443046472500513e-07,0.00044702704515510184,0.001441310216536231,6.546333095881739e-19,0.5419540271075373,6.987003144831756e-18
1.35,1.65,49,97,0.01208346426371086,1.959684102056139e-23,1.3743312636871997e-06,5.607881506618033e-19,1.3743312636871997e-06,0.0026185642536651235,0.0005248415278577146,9.248274810643783e-19,0.5467138672437535,6.093194727764974e-17
1.35,1.65,97,193,0.012176722046906566,1.3380200452678652e-23,1.3733899713124912e-06,3.2865957216685016e-23,1.3733899713124912e-06,0.0006492474184915727,0.00211535684578208,1.1332826681388053e-17,0.5425249932206128,2.7847901585071314e-17
1.35,1.65,193,385,0.012191972336817711,7.065870086877622e-25,1.3750810816673847e-06,7.114203625356962e-17,1.3750810816673847e-06,0.0001734918722441412,0.007925910671667334,4.287386370177423e-18,0.541845944880647,3.346664846731695e-17
