bundle,label,run_id,nr,nz,run_key_extra,step,time,dt,viscosity,max_abs_u_r,max_abs_u_z,dr,dz,advective_cfl_r,advective_cfl_z,viscous_number,first_derivative_coefficient_r,heun_max_amplification,heun_argmax_theta_r,heun_argmax_theta_z,heun_passes,predictor_stage,predictor_max_amplification,predictor_argmax_theta_r,predictor_argmax_theta_z,row_verdict
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,375.0,0.0003750000000000026,1e-06,0.0005,119.99925512792055,99.27084321217947,0.015625,0.0078125,0.007679952328186915,0.012706667931158972,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0001880056886574,-1.5446163880149817,-1.509709802975095,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,400.0,0.0004000000000000032,1e-06,0.0005,125.76883988564059,103.89166601656945,0.015625,0.0078125,0.008049205752680998,0.013298133250120888,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0002080034042353,-1.5446163880149817,-1.509709802975095,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,425.0,0.0004250000000000038,1e-06,0.0005,131.2193473642811,108.23698204042742,0.015625,0.0078125,0.00839803823131399,0.013854333701174708,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0002276932440322,-1.5446163880149817,-1.5184364492350666,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,450.0,0.00045000000000000443,1e-06,0.0005,136.35786975918836,112.35202351366847,0.015625,0.0078125,0.008726903664588054,0.014381059009749564,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0002470635195944,-1.5533430342749532,-1.5184364492350666,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,475.0,0.00047500000000000504,1e-06,0.0005,141.19374328165645,116.29307154102077,0.015625,0.0078125,0.009036399570026013,0.014885513157250656,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0002661750245987,-1.5533430342749532,-1.5271630954950384,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,500.0,0.0005,9.999999999943865e-07,0.0005,145.73820740986838,119.99326391379307,0.015625,0.0078125,0.009327245274179217,0.015359137780879294,3.2767999999816054e-05,0.096,1.0,0.0,0.0,True,euler,1.000284730309637,-1.5533430342749532,-1.5271630954950384,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,525.0,0.0005250000000000006,1e-06,0.0005,150.0040625648994,123.46245218416789,0.015625,0.0078125,0.009600260004153562,0.01580319387957349,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0003026651383113,-1.5533430342749532,-1.5271630954950384,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,550.0,0.0005500000000000012,1e-06,0.0005,154.0185900803354,126.71117229647078,0.015625,0.0078125,0.009857189765141465,0.016219030053948258,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0003199603231914,-1.5533430342749532,-1.53588974175501,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,575.0,0.0005750000000000018,1e-06,0.0005,157.96248391870387,129.75042965089366,0.015625,0.0078125,0.010109598970797048,0.016608054995314387,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.000336875947114,-1.5533430342749532,-1.53588974175501,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,600.0,0.0006000000000000024,1e-06,0.0005,161.65974821686666,132.66349444681836,0.015625,0.0078125,0.010346223885879465,0.01698092728919275,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0003533297965586,-1.5533430342749532,-1.53588974175501,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,625.0,0.000625000000000003,1e-06,0.0005,165.12219225838322,135.4456200443255,0.015625,0.0078125,0.010567820304536527,0.017337039365673663,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0003692677078777,-1.5533430342749532,-1.53588974175501,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,650.0,0.0006500000000000037,1e-06,0.0005,168.36202204309677,138.05456795189662,0.015625,0.0078125,0.010775169410758192,0.017670984697842767,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0003845032645156,-1.5533430342749532,-1.53588974175501,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,675.0,0.0006750000000000043,1e-06,0.0005,171.39163784827258,140.50063948198226,0.015625,0.0078125,0.010969064822289445,0.01798408185369373,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.000399039078259,-1.562069680534925,-1.53588974175501,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,700.0,0.0007000000000000049,1e-06,0.0005,174.22344666427423,142.7939717492951,0.015625,0.0078125,0.01115030058651355,0.018277628383909773,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0004128850807241,-1.562069680534925,-1.5446163880149817,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,725.0,0.0007250000000000055,1e-06,0.0005,176.86969102662306,144.94446249346132,0.015625,0.0078125,0.011319660225703874,0.01855289119916305,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.000426059464764,-1.562069680534925,-1.5446163880149817,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,750.0,0.0007500000000000061,1e-06,0.0005,179.34229528796914,146.9760466406685,0.015625,0.0078125,0.011477906898430024,0.018812933970005566,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.00043863373285,-1.562069680534925,-1.5446163880149817,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,775.0,0.0007750000000000067,1e-06,0.0005,181.652729905105,148.97980158605623,0.015625,0.0078125,0.011625774713926718,0.019069414603015197,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0004509548860598,-1.562069680534925,-1.5446163880149817,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,800.0,0.0008000000000000073,1e-06,0.0005,183.81189387190645,150.86713831204708,0.015625,0.0078125,0.011763961207802012,0.019310993703942025,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0004626755672017,-1.562069680534925,-1.5446163880149817,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,825.0,0.0008250000000000079,1e-06,0.0005,185.83001502255982,152.6459885363364,0.015625,0.0078125,0.011893120961443827,0.019538686532651058,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0004738202626906,-1.562069680534925,-1.5446163880149817,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,850.0,0.0008500000000000085,1e-06,0.0005,187.71656757218238,154.32392055028185,0.015625,0.0078125,0.012013860324619673,0.019753461830436077,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0004844144830867,-1.562069680534925,-1.5446163880149817,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,875.0,0.0008750000000000091,1e-06,0.0005,189.4802059623205,155.90812724686853,0.015625,0.0078125,0.01212673318158851,0.01995624028759917,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0004944840604848,-1.562069680534925,-1.5446163880149817,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,900.0,0.0009000000000000097,1e-06,0.0005,191.12871384167678,157.4054200202308,0.015625,0.0078125,0.012232237685867314,0.02014789376258954,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0005040545450157,-1.562069680534925,-1.5446163880149817,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,925.0,0.0009250000000000103,1e-06,0.0005,192.66896683909602,158.8222276119907,0.015625,0.0078125,0.012330813877702145,0.02032924513433481,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0005131506943221,-1.562069680534925,-1.5446163880149817,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,950.0,0.000950000000000011,1e-06,0.0005,194.13364170268187,160.16459908519633,0.015625,0.0078125,0.012424553068971639,0.02050106868290513,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0005218523485266,-1.562069680534925,-1.5446163880149817,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,975.0,0.0009750000000000116,1e-06,0.0005,195.77466898083003,161.48338199981333,0.015625,0.0078125,0.012529578814773122,0.020669872895976105,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.000530898675822,-1.562069680534925,-1.5446163880149817,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1000.0,0.001,9.99999999990375e-07,0.0005,197.3616200641912,162.76820438343108,0.015625,0.0078125,0.01263114368398666,0.020834330160878645,3.276799999968461e-05,0.096,1.0,0.0,0.0,True,euler,1.0005397587135938,-1.562069680534925,-1.5446163880149817,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1025.0,0.001024999999999998,1e-06,0.0005,198.8976310933422,163.9911294557224,0.015625,0.0078125,0.0127294483899739,0.020990864570332463,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0005483125320518,-1.562069680534925,-1.5446163880149817,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1050.0,0.0010499999999999958,1e-06,0.0005,200.38485121482796,165.15663476603092,0.015625,0.0078125,0.01282463047774899,0.021140049250051956,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0005565757143393,-1.562069680534925,-1.5446163880149817,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1075.0,0.0010749999999999937,1e-06,0.0005,201.82446552256238,166.26890163870922,0.015625,0.0078125,0.012916765793443991,0.02128241940975478,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0005645614766234,-1.562069680534925,-1.5446163880149817,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1100.0,0.0010999999999999916,1e-06,0.0005,203.21671675940908,167.33182766503558,0.015625,0.0078125,0.013005869872602181,0.021418473941124554,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.00057228058699,-1.562069680534925,-1.5446163880149817,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1125.0,0.0011249999999999895,1e-06,0.0005,204.5609246526862,168.34903990604778,0.015625,0.0078125,0.013091899177771916,0.021548677107974114,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0005797413041178,-1.562069680534925,-1.5446163880149817,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1150.0,0.0011499999999999874,1e-06,0.0005,205.85550197392473,169.3239085408111,0.015625,0.0078125,0.013174752126331183,0.02167346029322382,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0005869501737068,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1175.0,0.0011749999999999853,1e-06,0.0005,207.09796663577725,170.25956073359114,0.015625,0.0078125,0.013254269864689744,0.021793223773899667,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0005939102361232,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1200.0,0.0011999999999999832,1e-06,0.0005,208.2849493690088,171.1588945290641,0.015625,0.0078125,0.013330236759616563,0.021908338499720202,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.000600621139397,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1225.0,0.001224999999999981,1e-06,0.0005,209.41219676117504,172.02459261669594,0.015625,0.0078125,0.013402380592715202,0.02201914785493708,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0006070807099496,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1250.0,0.001249999999999979,1e-06,0.0005,210.47456968680575,172.8591358333185,0.015625,0.0078125,0.013470372459955568,0.02212596938666477,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0006132840896154,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1275.0,0.0012749999999999769,1e-06,0.0005,211.53725344640577,173.66481629655453,0.015625,0.0078125,0.013538384220569969,0.022229096485958978,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0006193866225037,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1300.0,0.0012999999999999748,1e-06,0.0005,213.2747058752529,174.44375008130146,0.015625,0.0078125,0.013649581176016185,0.022328800010406585,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0006269473035474,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1325.0,0.0013249999999999727,1e-06,0.0005,214.98345604122125,175.19788936780608,0.015625,0.0078125,0.013758941186638158,0.02242532983907918,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0006343711750956,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1350.0,0.0013499999999999706,1e-06,0.0005,216.65635396604148,175.92903400427346,0.015625,0.0078125,0.013866006653826654,0.022518916352547002,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0006416468847088,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
outputs/hou_early_time_v1,hou_early_time_v1,hou_early_time_v1/nr65/nz128,65,128,,1375.0,0.0013749999999999685,1e-06,0.0005,218.28515278951278,176.63884244118773,0.015625,0.0078125,0.013970249778528817,0.02260977183247203,3.2768e-05,0.096,1.0,0.0,0.0,True,euler,1.0006487597499818,-1.562069680534925,-1.5533430342749532,stability-verified-in-model
