checkpoint,nr,nz,physical_time,audit_grid,audit_shape,region,azimuthal_defect_max,azimuthal_defect_rms,curl_defect_max,curl_defect_rms,divergence_max,divergence_rms,azimuthal_defect_max_over_cancellation_scale,azimuthal_defect_max_over_signal_scale,azimuthal_defect_rms_over_cancellation_scale,curl_defect_max_over_curl_term_scale,curl_defect_max_over_gradient_scale,curl_defect_max_over_vorticity_scale,curl_defect_rms_over_curl_term_scale,curl_defect_rms_over_gradient_scale,divergence_max_over_divergence_term_scale,divergence_max_over_gradient_scale,divergence_rms_over_divergence_term_scale,divergence_rms_over_gradient_scale,scale_azimuthal_cancellation_max,scale_azimuthal_signal_max,scale_curl_term_sum_max,scale_divergence_term_sum_max,scale_velocity_gradient_row_sum_max,scale_velocity_max_abs,scale_vorticity_e18b_max_abs
outputs/hou_early_time_v1/checkpoints/checkpoint_nr65_nz128_t000.npz,65,128,0.0,coarse,32x32x64,full,2.2737367544323206e-13,1.4335199447409296e-14,226.61856516621447,12.789097099015526,22.83506516380112,4.344904187705073,7.735662056020551e-17,,4.877093103000708e-18,0.031230690527027778,0.031230690527027778,0.03050970220384481,0.0017624872583872893,0.0017624872583872893,0.009584219973084646,0.003146939231444338,0.001823621574899429,0.000598778647972987,2939.291734781388,1.1368683772161603e-13,7256.2777620973,2382.5689756629968,7256.2777620973,323.18272886211923,7427.754084654952
outputs/hou_early_time_v1/checkpoints/checkpoint_nr65_nz128_t000.npz,65,128,0.0,coarse,32x32x64,interior,2.2737367544323206e-13,1.6383084887986695e-14,226.61856516621447,14.615402813346545,22.83506516380112,4.965406339846432,7.735662056020551e-17,,5.573820622880498e-18,0.031230690527027778,0.031230690527027778,0.03050970220384481,0.0020141735601259866,0.0020141735601259866,0.009584219973084646,0.003146939231444338,0.002084055651931214,0.0006842911066308558,2939.291734781388,1.1368683772161603e-13,7256.2777620973,2382.5689756629968,7256.2777620973,323.18272886211923,7427.754084654952
outputs/hou_early_time_v1/checkpoints/checkpoint_nr65_nz128_t000.npz,65,128,0.0,fine,64x64x128,full,5.542233338928781e-13,3.0291615245417205e-14,60.82350215002862,2.9710877556441346,18.312559310558868,1.7341540534671398,1.8649164700979458e-16,,1.0192882313390179e-17,0.008119450801535926,0.008119450801535926,0.008119450801535926,0.0003966164394725994,0.0003966164394725994,0.007458621396251185,0.0024445801230835807,0.0007063129903490805,0.00023149568870071909,2971.8399873629205,1.1368683772161603e-13,7491.085744188864,2455.2203869421546,7491.085744188864,327.01636154462545,7491.085744188863
outputs/hou_early_time_v1/checkpoints/checkpoint_nr65_nz128_t000.npz,65,128,0.0,fine,64x64x128,interior,5.542233338928781e-13,3.231105624209299e-14,60.82350215002862,3.169139862217687,18.312559310558868,1.8497611114645958,1.8649164700979458e-16,,1.087240779432556e-17,0.008119450801535926,0.008119450801535926,0.008119450801535926,0.000423054810803109,0.000423054810803109,0.007458621396251185,0.0024445801230835807,0.0007533992147109751,0.00024692830580660887,2971.8399873629205,1.1368683772161603e-13,7491.085744188864,2455.2203869421546,7491.085744188864,327.01636154462545,7491.085744188863
outputs/hou_early_time_v1/checkpoints/checkpoint_nr129_nz256_t000.npz,129,256,0.0,coarse,32x32x64,full,2.2737367544323206e-13,1.5814617285922035e-14,223.13092143816084,13.735964099495193,21.66555050638243,4.205150782311818,7.716967538783e-17,,5.3674150270841965e-18,0.030749167242952954,0.030749167242952954,0.029861963703392305,0.0018929221222063215,0.0018929221222063215,0.009080672030718382,0.0029856804769034643,0.001762502876750969,0.0005795023112606851,2946.4122312362333,1.1368683772161603e-13,7256.48664483093,2385.897258825286,7256.48664483093,323.19203215701503,7472.07798035108
outputs/hou_early_time_v1/checkpoints/checkpoint_nr129_nz256_t000.npz,129,256,0.0,coarse,32x32x64,interior,2.2737367544323206e-13,1.8073848128580642e-14,223.13092143816084,15.697575326049854,21.66555050638243,4.80568975767298,7.716967538783e-17,,6.134188535117964e-18,0.030749167242952954,0.030749167242952954,0.029861963703392305,0.0021632473253749914,0.0021632473253749914,0.009080672030718382,0.0029856804769034643,0.0020142064960664303,0.0006622612281793771,2946.4122312362333,1.1368683772161603e-13,7256.48664483093,2385.897258825286,7256.48664483093,323.19203215701503,7472.07798035108
outputs/hou_early_time_v1/checkpoints/checkpoint_nr129_nz256_t000.npz,129,256,0.0,fine,64x64x128,full,5.115907697472721e-13,3.011781434383876e-14,58.319997948640776,3.227220574891266,7.394880966666847,1.1112886848962544,1.7167235582287802e-16,,1.0106507869946646e-17,0.007784921485015148,0.007784921485015148,0.007738964592542668,0.0004307897749324166,0.0004307897749324166,0.003010953244072252,0.0009871153933721294,0.0004524803422761989,0.00014834182893356412,2980.0416455815575,1.1368683772161603e-13,7491.404770221301,2455.993290903921,7491.404770221301,327.0302883285295,7535.891559038585
outputs/hou_early_time_v1/checkpoints/checkpoint_nr129_nz256_t000.npz,129,256,0.0,fine,64x64x128,interior,5.115907697472721e-13,3.212566861426627e-14,58.319997948640776,3.4423458982006316,7.394880966666847,1.1853696565312624,1.7167235582287802e-16,,1.0780275054846395e-17,0.007784921485015148,0.007784921485015148,0.007738964592542668,0.0004595060611174188,0.0004595060611174188,0.003010953244072252,0.0009871153933721294,0.00048264368674028036,0.00015823062468112316,2980.0416455815575,1.1368683772161603e-13,7491.404770221301,2455.993290903921,7491.404770221301,327.0302883285295,7535.891559038585
outputs/hou_early_time_v1/checkpoints/checkpoint_nr193_nz384_t000.npz,193,384,0.0,coarse,32x32x64,full,2.2737367544323206e-13,1.5273420857798722e-14,223.8195856084758,13.918079722632285,21.384061812560105,4.216441178383946,7.714087699174314e-17,,5.181800739851854e-18,0.03084356569779935,0.03084356569779935,0.02992070448334292,0.0019179876736218984,0.0019179876736218984,0.008964190777308879,0.002946840928189633,0.0017675305774759024,0.0005810487055582633,2947.512192110147,1.1368683772161603e-13,7256.6054068270405,2385.498294691556,7256.6054068270405,323.19732162184073,7480.424992435516
outputs/hou_early_time_v1/checkpoints/checkpoint_nr193_nz384_t000.npz,193,384,0.0,coarse,32x32x64,interior,2.2737367544323206e-13,1.7455337956846906e-14,223.8195856084758,15.905724175809965,21.384061812560105,4.81859857066163,7.714087699174314e-17,,5.9220579319641396e-18,0.03084356569779935,0.03084356569779935,0.02992070448334292,0.002191895973955784,0.002191895973955784,0.008964190777308879,0.002946840928189633,0.002019954732889328,0.0006640292947620212,2947.512192110147,1.1368683772161603e-13,7256.6054068270405,2385.498294691556,7256.6054068270405,323.19732162184073,7480.424992435516
