label,nominal_amplitude,effective_amplitude,reynolds,aspect_ratio,concentration,dimensionless_time
A2_R1.2_Z1.5_c2,2.0,0.06785922751983398,19.543457525712185,0.7999999999999999,2.0,0.0016286214604760154
A5_R1.2_Z1.5_c2,5.0,0.16964806879958494,48.85864381428046,0.7999999999999999,2.0,0.004071553651190039
A10_R1.2_Z1.5_c2,10.0,0.3392961375991699,97.71728762856092,0.7999999999999999,2.0,0.008143107302380078
A20_R1.2_Z1.5_c2,20.0,0.6785922751983398,195.43457525712185,0.7999999999999999,2.0,0.016286214604760155
A2_R0.8_Z1_c0,2.0,0.09716378842102745,12.436964917891515,0.8,0.0,0.002331930922104659
A5_R0.8_Z1_c0,5.0,0.24290947105256863,31.09241229472879,0.8,0.0,0.005829827305261648
A10_R0.8_Z1_c0,10.0,0.48581894210513726,62.18482458945758,0.8,0.0,0.011659654610523295
A20_R0.8_Z1_c0,20.0,0.9716378842102745,124.36964917891515,0.8,0.0,0.02331930922104659
A20_R0.8_Z1.5_c2,20.0,0.6785922751983398,86.85981122538749,0.5333333333333333,2.0,0.016286214604760155
A10_R0.8_Z1.5_c2,10.0,0.3392961375991699,43.429905612693744,0.5333333333333333,2.0,0.008143107302380078
A5_R0.8_Z1.5_c2,5.0,0.16964806879958494,21.714952806346872,0.5333333333333333,2.0,0.004071553651190039
A2_R0.8_Z1.5_c2,2.0,0.06785922751983398,8.685981122538749,0.5333333333333333,2.0,0.0016286214604760154
A2_R0.8_Z1_c2,2.0,0.06785922751983398,8.685981122538749,0.8,2.0,0.0016286214604760154
A5_R0.8_Z1_c2,5.0,0.16964806879958494,21.714952806346872,0.8,2.0,0.004071553651190039
A10_R0.8_Z1_c2,10.0,0.3392961375991699,43.429905612693744,0.8,2.0,0.008143107302380078
A20_R0.8_Z1_c2,20.0,0.6785922751983398,86.85981122538749,0.8,2.0,0.016286214604760155
A2_R1.2_Z1_c0,2.0,0.09716378842102745,27.983171065255902,1.2,0.0,0.002331930922104659
A5_R1.2_Z1_c0,5.0,0.24290947105256863,69.95792766313976,1.2,0.0,0.005829827305261648
A10_R1.2_Z1_c0,10.0,0.48581894210513726,139.9158553262795,1.2,0.0,0.011659654610523295
A20_R1.2_Z1_c0,20.0,0.9716378842102745,279.831710652559,1.2,0.0,0.02331930922104659
A2_R1.2_Z1.5_c0,2.0,0.09716378842102745,27.983171065255902,0.7999999999999999,0.0,0.002331930922104659
A5_R1.2_Z1.5_c0,5.0,0.24290947105256863,69.95792766313976,0.7999999999999999,0.0,0.005829827305261648
A10_R1.2_Z1.5_c0,10.0,0.48581894210513726,139.9158553262795,0.7999999999999999,0.0,0.011659654610523295
A20_R1.2_Z1.5_c0,20.0,0.9716378842102745,279.831710652559,0.7999999999999999,0.0,0.02331930922104659
A2_R1.2_Z1_c2,2.0,0.06785922751983398,19.543457525712185,1.2,2.0,0.0016286214604760154
A5_R1.2_Z1_c2,5.0,0.16964806879958494,48.85864381428046,1.2,2.0,0.004071553651190039
A10_R1.2_Z1_c2,10.0,0.3392961375991699,97.71728762856092,1.2,2.0,0.008143107302380078
A2_R0.8_Z1.5_c0,2.0,0.09716378842102745,12.436964917891515,0.5333333333333333,0.0,0.002331930922104659
A5_R0.8_Z1.5_c0,5.0,0.24290947105256863,31.09241229472879,0.5333333333333333,0.0,0.005829827305261648
A10_R0.8_Z1.5_c0,10.0,0.48581894210513726,62.18482458945758,0.5333333333333333,0.0,0.011659654610523295
A20_R0.8_Z1.5_c0,20.0,0.9716378842102745,124.36964917891515,0.5333333333333333,0.0,0.02331930922104659
A20_R1.2_Z1_c2,20.0,0.6785922751983398,195.43457525712185,1.2,2.0,0.016286214604760155
