distance,frobenius_norm,distance5_times_frobenius,normalized_transverse_stretch,trace
2.0,0.03654828755782857,1.1695452018505141,12.0,0.0
4.0,0.0011421339861821427,1.1695452018505141,12.0,0.0
8.0,3.569168706819196e-05,1.1695452018505141,12.0,0.0
16.0,1.1153652208809987e-06,1.1695452018505141,12.0,0.0
