time,peak_u_theta,peak_vorticity,peak_radial_gradient_u_theta,energy_per_unit_z
0.0,0.4288683175744918,2.0,1.003035496321517,0.39269914274236706
0.01171875,0.4273600692848839,1.9906686704045509,0.9983496137013943,0.39086551029928446
0.0234375,0.4258594772553754,1.981404082248445,0.9936964113707806,0.38904468418649973
0.0390625,0.4238705129071724,1.9691514302792656,0.9875424282589308,0.3866366316542283
0.05078125,0.42238759538359283,1.9600362615174862,0.9829643167815673,0.3848452268937353
0.0625,0.42091217203754117,1.950984163044605,0.978417927573369,0.38306623738871415
0.07421875,0.41944419501414854,1.9419945613470206,0.9739029726812544,0.38129954873545713
0.0859375,0.41798361680919816,1.9330668856395303,0.9694191649499142,0.37954504784433174
0.1015625,0.4160476070210257,1.9212586704045704,0.9634887139423558,0.3772244790248372
0.11328125,0.4146041099373071,1.912473298822664,0.9590764803512193,0.3754979836991864
0.125,0.4131678558236572,1.9037479906601646,0.9546944560213544,0.3737833084310404
0.13671875,0.4117387986653125,1.8950822003451546,0.9503423661755852,0.3720803456200621
0.1484375,0.41031689278437744,1.8864753884190426,0.9460199391130488,0.37038898888693345
0.1640625,0.40843206416200745,1.8750904622779463,0.9403023812382141,0.36815171886266695
0.17578125,0.4070266688320554,1.8666192025878767,0.9360481277958294,0.36648703601565086
0.1875,0.405628274920295,1.8582051664384764,0.9318226533092914,0.3648336132562856
0.19921875,0.40423683817943207,1.84984784010144,0.9276256990463185,0.36319134930805785
0.2109375,0.4028523146856652,1.8415467155889527,0.9234570091693086,0.36156014403000697
0.2265625,0.40103755414077785,1.8305651072280198,0.9179422859789224,0.3594022350477955
0.23828125,0.39971711373071295,1.822393176483456,0.9138385673901547,0.35779645016149425
0.25,0.3984029066072137,1.8142757947717154,0.9097622808192871,0.35620139814951374
