method,requested_dt,step,time,dt,viscosity,energy,enstrophy,max_abs_u1,max_abs_omega1,max_abs_psi1,max_abs_u_r,max_abs_u_z,max_cartesian_vorticity,amplification,argmax_u1_r,argmax_u1_z,argmax_u1_value,circulation_max,divergence_residual_max,axis_parity_defect,odd_symmetry_defect,wall_u1_max_abs,advective_cfl,viscous_cfl,divergence_relative_denominator,divergence_residual_relative,divergence_residual_argmax_r,divergence_residual_argmax_z,divergence_pointwise_ratio_max,divergence_pointwise_ratio_argmax_r,divergence_pointwise_ratio_argmax_z,axis_parity_defect_u1,axis_parity_defect_omega1,axis_parity_relative_u1,axis_parity_relative_omega1,axis_parity_relative_denominator_u1,axis_parity_relative_denominator_omega1,axis_parity_argmax_z_u1,axis_parity_argmax_z_omega1,argmax_cartesian_vorticity_r,argmax_cartesian_vorticity_z
heun,6.000e-07,0.0,0.0,0.0,0.0005,4008.11113236055,773886.7345045686,3265.5332310870513,0.0,0.0,0.0,0.0,7494.3062310458845,1.0,0.0,0.0859375,3265.533231087051,64.88057619110188,0.0,11.361380314832786,6.366462912410498e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.361380314832786,0.0,0.0009388669913412475,0.0,12101.160675168838,0.0,0.9140625,0.0,0.171875,0.0
heun,6.000e-07,100.0,5.999805639200652e-05,5.999805639200657e-07,0.0005,4007.990230996263,776901.5905372624,3226.1970287254885,12619.013723951099,9.316632756961969,22.067203505933144,18.633265513923938,7517.280474493829,1.0030655597382412,0.0,0.0859375,3226.197028725488,64.88628936222263,9.737245891533576,175.34270602924516,8.549250196665525e-11,0.0,0.0014309884352916987,1.9660163118532714e-05,1216.7093828263953,0.008002934824842165,0.0,0.0,0.02301826946447006,0.0,0.1953125,9.736577030213084,175.34270602924516,0.0008135397233169493,0.0026970086127191305,11968.164247119108,65013.773112301715,0.09375,0.96875,0.171875,0.0
heun,6.000e-07,200.0,0.00011999611278401369,5.999805639200657e-07,0.0005,4007.722766393826,785877.112587589,3112.441064033569,24685.17040841432,18.366833623782387,43.60678338595447,36.733667247564775,7586.047830481604,1.0122415066328183,0.0,0.0859375,3112.4410640335686,64.90202499776376,18.73183370523475,319.5996678225929,1.7462298274040222e-10,0.0,0.002821054257925883,1.9660163118532714e-05,2384.6850043236454,0.007855055771002154,0.0,0.0,0.02473488978547286,0.0,0.1953125,7.174633600589004,319.5996678225929,0.0006199377589785036,0.0025214416563157857,11573.151492515855,126752.75155467098,0.8359375,0.96875,0.171875,0.0
heun,6.000e-07,300.0,0.00017999416917602087,5.999805639200657e-07,0.0005,4007.315399258416,800524.563640019,2935.841947672658,35710.34732209383,26.914755369641306,64.14073183304599,53.82951073928261,7699.012757384421,1.027314940172917,0.0,0.0859375,2935.8419476726576,64.9207770884915,26.385702724003295,438.2072772511747,2.6557245291769505e-10,0.0,0.00413397250673869,1.9660163118532714e-05,3462.3024233093033,0.007620854419407874,0.0,0.0,0.058368936805583874,0.046875,0.1953125,6.022629280669207,438.2072772511747,0.0005436222648018036,0.0024039988623372156,11078.702383289921,182282.64751554036,0.203125,0.0390625,0.171875,0.0
heun,6.000e-07,400.0,0.00023999222556802806,5.999805639200657e-07,0.0005,4006.7794101173736,820417.8987506485,2714.986249152835,45317.197460855736,34.77808799000982,83.27850992577186,69.55617598001965,7853.607294923561,1.0479432055217117,0.0,0.09375,2714.986249152835,64.93029785159098,32.333546432981166,548.4575426711235,3.7834979593753815e-10,0.0,0.005341741272142786,1.9660163118532714e-05,4420.033830475162,0.007315226008011175,0.0,0.0,0.01714561512934532,0.0,0.9609375,5.370341693218506,548.4575426711235,0.0005102015175241741,0.002391627726260199,10525.922618338845,229323.96068544895,0.21875,0.046875,0.171875,0.0
heun,6.000e-07,500.0,0.0002999902819600327,5.999805639200657e-07,0.0005,4006.1303105005995,845057.3869456907,2482.6334401013905,53266.572938817466,41.85434656766955,100.74286566831117,83.7086931353391,8046.415082209983,1.0736704418184746,0.0,0.109375,2482.6334401013905,64.91225027474457,36.454978504609244,691.8434123864863,4.94765117764473e-10,0.0,0.0064286193807811184,1.9660163118532714e-05,5242.572686326983,0.0069536429317778505,0.0,0.0,0.06199697425531318,0.984375,0.25,6.728585077202297,691.8434123864863,0.0006737573336074971,0.00259310171170258,9986.659501241273,266801.4946209863,0.921875,0.0546875,0.171875,0.0
heun,6.000e-07,600.0,0.0003599883383520372,5.999805639200657e-07,0.0005,4005.3869377972705,873931.6554247686,2288.8906993185387,60018.63991193911,48.180687023113045,116.37948402236769,96.36137404622609,8273.34539492022,1.103950804765235,0.0,0.1328125,2288.8906993185387,64.84107659754379,38.82533013693683,907.8203107048757,5.165929906070232e-10,0.0,0.00740031379716699,1.9660163118532714e-05,5928.060570388792,0.006549415222049674,0.0,0.0,0.22180471578893476,0.0,0.796875,8.853717522339139,907.8203107048757,0.0009326241346740043,0.0030516771414084145,9493.33948497261,297482.42315237096,0.9765625,0.0546875,0.171875,0.0
heun,6.000e-07,700.0,0.00041998639474404167,5.999805639200657e-07,0.0005,4004.5700693532617,906564.9167909905,2140.5326789351684,65614.16419166539,53.69364336303896,130.15154664389325,107.38728672607792,8529.850663998483,1.1381774911549192,0.0,0.140625,2140.532678935168,64.7046327635006,39.639158713929646,1167.3312302983832,4.874891601502895e-10,0.0,0.008247076460513026,1.9660163118532714e-05,6485.302706772025,0.006112152432381914,0.0,0.0,0.03770882419257754,0.0,0.796875,14.461413673707284,1167.3312302983832,0.0015997509666177815,0.003640415248122843,9039.790552076884,320658.81245286786,0.9765625,0.0625,0.171875,0.0
heun,6.000e-07,800.0,0.00047998445113604614,5.999805639200657e-07,0.0005,4003.7007762403523,942543.4245372367,2044.4740110679352,69769.22123320824,58.52485799051213,142.12268064393425,117.04971598102426,8811.173238901185,1.175715665634272,0.0,0.046875,2044.4740110679352,64.81789429692328,39.13611706244865,1469.4478689818643,5.675246939063072e-10,0.0,0.008989126988925244,1.9660163118532714e-05,6930.109260157787,0.00564725830333555,0.0,0.0,0.06952241311694841,0.0,0.7890625,22.581037272888352,1469.4478689818643,0.002592100103500638,0.004342924967905271,8711.483496487115,338354.42238612403,0.9765625,0.0625,0.171875,0.0
heun,6.000e-07,900.0,0.0005399825075280553,5.999805639200657e-07,0.0005,4002.7987942878685,981522.3170646777,2016.1337049954395,72652.28472016627,62.71758853129866,152.4328615485072,125.43517706259732,9112.599930294717,1.2159364255152658,0.0,0.046875,2016.1337049954395,64.8482754137928,38.01884680927742,2130.2844555824995,6.402842700481415e-10,0.0,0.009633109538487094,1.9660163118532714e-05,7281.7128807526715,0.005221140606871555,0.0,0.015625,0.08660977517173882,0.0,0.2109375,34.16963809256413,2130.2844555824995,0.004078850502300935,0.006072091819744228,8377.271506589557,350832.0557102894,0.9765625,0.9765625,0.171875,0.0
heun,6.000e-07,1000.0,0.0005999805639200652,5.999805639200657e-07,0.0005,4001.8811361166963,1023218.5770322966,2012.5173528895343,74521.07944034293,66.3306278974927,161.6569737767939,132.6612557949854,9429.69824407487,1.2582483225747352,0.0,0.046875,2012.5173528895343,64.7575898132052,38.75135886055068,3240.0171787510626,7.930793799459934e-10,0.0,0.010188054407964086,1.9660163118532714e-05,7559.853345547486,0.00512594055589372,0.0,0.9765625,0.049345622597191115,0.0,0.78125,50.21649704282754,3240.0171787510626,0.006164068652590127,0.00894503608606934,8146.647916019996,362213.98634678987,0.9765625,0.9765625,0.171875,0.0
heun,6.000e-07,1100.0,0.0006599786203120751,5.999805639200657e-07,0.0005,4000.961075357293,1067397.2844378208,2025.8500071523079,75642.45075871919,69.52493075304373,169.59580018253178,139.04986150608747,9758.507728131079,1.302122895339601,0.0,0.046875,2025.8500071523079,64.57529892835095,40.760854241877496,4679.958744740346,9.167706593871117e-10,0.0,0.010678683432886962,1.9660163118532714e-05,7782.776256554946,0.0052373154383755,0.0,0.96875,1.0,0.0,0.21875,71.87298990204727,4679.958744740346,0.009058361773212327,0.012199571386187139,7934.435795509111,383616.6531259606,0.9765625,0.9765625,0.171875,0.0
heun,6.000e-07,1200.0,0.000719976676704085,5.999805639200657e-07,0.0005,4000.047556733585,1113857.410979895,2048.2285156943603,76217.7683031315,72.26167884588328,176.3523038166942,144.52335769176656,10095.66414272444,1.3471112377156647,0.0,0.046875,2048.2285156943603,64.74948654170865,44.31177311730244,6708.886607182678,9.531504474580288e-10,0.0,0.011099034322883516,1.9660163118532714e-05,7966.136884416057,0.005562517159853026,0.0,0.03125,0.09856416305467595,0.0,0.046875,103.4050680433138,6708.886607182678,0.013319083048961008,0.016218822073783234,7763.677699372871,413648.2030977574,0.96875,0.96875,0.171875,0.0
heun,6.000e-07,1300.0,0.0007799747330960949,5.999805639200657e-07,0.0005,3999.1450343031916,1162421.2761573698,2073.7622828081844,76943.52154794034,74.68219106498105,182.09411471809221,149.3643821299621,10438.442744053742,1.392849774514349,0.0,0.046875,2073.7622828081844,64.73243070665072,47.67440957512099,9361.787544625811,1.2441887520253658e-09,0.0,0.011470812956148076,1.9660163118532714e-05,8122.6420429808295,0.005869322976791618,0.0,0.03125,0.1817647879552216,0.0,0.953125,145.78562618793512,9361.787544625811,0.019183042068765886,0.020853243853303234,7599.713625468477,448936.7510629704,0.96875,0.96875,0.171875,0.0
heun,6.000e-07,1400.0,0.0008399727894881048,5.999805639200657e-07,0.0005,3998.2537025158126,1212929.484246196,2099.21426627007,77525.92306004347,76.83128736109111,186.97513700253432,153.66257472218223,10784.718138540937,1.4390549046240204,0.0,0.046875,2099.21426627007,64.43039939490022,53.06646297263342,12763.326632983517,1.5497789718210697e-09,0.0,0.011800903454108688,1.9660163118532714e-05,8262.195267590294,0.006422804261331684,0.0,0.0390625,1.0,0.0,0.2265625,201.39875662986015,12763.326632983517,0.02585218087783031,0.02604495238342744,7790.397165392373,490049.9123624775,0.96875,0.96875,0.171875,0.0
heun,6.000e-07,1500.0,0.0008999708458801147,5.999805639200657e-07,0.0005,3997.370050843685,1265241.30103363,2123.7945038779167,78806.31259915026,78.70186174833464,191.12686868955277,157.40372349666927,11132.849392970547,1.4855076707236285,0.015625,0.046875,2123.7945038779153,64.59762803113706,58.5638425580828,17180.17616064148,1.6298145055770874e-09,0.0,0.012088214372691164,1.9660163118532714e-05,8392.317740703982,0.006978268026488023,0.0,0.0390625,1.0,0.0,0.046875,273.70317520603567,17180.17616064148,0.030128737901172088,0.03183404995447423,9084.45538289169,539679.2486413382,0.03125,0.96875,0.171875,0.0
heun,6.000e-07,1600.0,0.0009599689022721246,5.999805639200657e-07,0.0005,3996.4876439634295,1319239.2446196235,2157.5789934959275,80246.20621689882,80.34019923349675,194.79474042644318,160.6803984669935,11498.453444813636,1.5342919131300221,0.046875,0.0390625,2157.5789934959275,64.59964043392739,64.18021486496491,22880.951954792254,1.5133991837501526e-09,0.0,0.012339854858640335,1.9660163118532714e-05,8518.670109891269,0.007534065063799506,0.0,0.0390625,1.0,0.0,0.046875,367.37248834053025,22880.951954792254,0.03561811037684467,0.038252266154337036,10314.204893344344,598159.3838773919,0.03125,0.96875,0.15625,0.0
heun,6.000e-07,1700.0,0.0010199669586641266,5.999805639200657e-07,0.0005,3995.598012915996,1374836.1440125937,2201.4736805996026,82273.50966633942,81.87484274707666,198.5923757287893,163.7496854941533,11888.764783956121,1.5863729633445949,0.046875,0.0390625,2201.4736805996026,64.20886568261747,70.12547954908587,30011.140163737815,1.9354047253727913e-09,0.0,0.012575568466497985,1.9660163118532714e-05,8676.63082387713,0.008082109400818148,0.0,0.0390625,0.7709412286351126,0.0,0.046875,489.6779518964322,30011.140163737815,0.04230897208152821,0.04529589195134116,11573.856035850658,662557.6596654085,0.03125,0.03125,0.15625,0.0
heun,6.000e-07,1800.0,0.0010799650150561256,5.999805639200657e-07,0.0005,3994.6915429096066,1431982.935828041,2257.312085484622,85158.12780086558,83.24190384882807,202.10473909139978,166.48380769765615,12287.991895953583,1.6396436864361632,0.0625,0.0390625,2257.312085484622,64.38348392769196,76.50736353252705,38722.18965603551,2.2264430299401283e-09,0.0,0.012785542249727937,1.9660163118532714e-05,8893.028427585003,0.008603071963113407,0.0,0.9609375,0.6588394614897748,0.0,0.046875,651.513366826126,38722.18965603551,0.05075317866603512,0.0532226468902539,12836.897785519977,727550.9941450562,0.03125,0.03125,0.15625,0.0
