checkpoint,checkpoint_sha256,nr,nz,time,viscosity,core_fraction,critical_l3_norm,critical_radial_scale,critical_axial_scale,u1_global_time_rms,u1_global_advection_rms,u1_global_source_rms,u1_global_diffusion_rms,u1_global_inviscid_block_rms,u1_global_residual_rms,u1_global_normalized_residual,u1_global_advection_source_cancellation,u1_global_time_derivative_sensitivity,u1_global_dominant_balance,omega1_global_time_rms,omega1_global_advection_rms,omega1_global_source_rms,omega1_global_diffusion_rms,omega1_global_inviscid_block_rms,omega1_global_residual_rms,omega1_global_normalized_residual,omega1_global_advection_source_cancellation,omega1_global_time_derivative_sensitivity,omega1_global_dominant_balance,u1_core_time_rms,u1_core_advection_rms,u1_core_source_rms,u1_core_diffusion_rms,u1_core_inviscid_block_rms,u1_core_residual_rms,u1_core_normalized_residual,u1_core_advection_source_cancellation,u1_core_time_derivative_sensitivity,u1_core_dominant_balance,omega1_core_time_rms,omega1_core_advection_rms,omega1_core_source_rms,omega1_core_diffusion_rms,omega1_core_inviscid_block_rms,omega1_core_residual_rms,omega1_core_normalized_residual,omega1_core_advection_source_cancellation,omega1_core_time_derivative_sensitivity,omega1_core_dominant_balance
/tmp/nswork/ns-singularity-certificate-lab/outputs/hou_early_time_v1/checkpoints/checkpoint_nr65_nz128_t000.npz,4c2b02a128c9132f4782e00cc5752aa2bf36479ec44012d5b6f7311b3f885902,65,128,0.0,0.0005,0.06498336791992188,118.56559816672821,0.20851441405707477,0.13990524737005944,131292.83713394386,0.0,0.0,44.91496590265812,0.0,131267.45809844637,0.9994647844943568,0.0,0.3081398802572907,unresolved_or_other,7979550.219305198,0.0,7673608.112637414,0.0,7673608.112637414,1021941.6288573844,0.06528660907824331,1.0,0.2823257426935082,time_inviscid,515022.4416336484,0.0,0.0,175.19857189587842,0.0,514922.7554135723,0.9994664478822878,0.0,0.3077335067578232,unresolved_or_other,31033267.078586433,0.0,29865545.51540592,0.0,29865545.51540592,3994658.7278671446,0.06559501832160873,1.0,0.28379103162100155,time_inviscid
/tmp/nswork/ns-singularity-certificate-lab/outputs/hou_early_time_v1/checkpoints/checkpoint_nr65_nz128_t001.npz,a55e577e64fa726f0d65ba13ae44742b69c999322eaa84370115700bee8d3cd9,65,128,0.0005,0.0005,0.07343292236328125,115.84670378897953,0.2187426779788918,0.14508153547137798,131341.01870468567,97120.44261767276,218850.4613489456,53.56206297702333,179294.29951157208,51865.02814078977,0.11593435325390766,0.5674392713403578,0.30802684121141294,time_inviscid,3938211.1577465637,3415938.9398753378,4862623.248419354,2563.8216264373577,3642676.0450839438,999365.0917665575,0.08178554025097799,0.4400131281533927,0.5720446039553024,time_inviscid,484575.1136111297,342345.7821484155,801216.6718111129,196.9432288852676,661567.5163649219,191387.62208896028,0.1175358139372636,0.5785145481773009,0.30784200705096254,time_inviscid,14351368.668693198,12581557.83790558,17675333.975271847,9460.085703913575,13236187.329139585,3687204.8058844344,0.08263991882552763,0.43746024578026826,0.5777574444065251,time_inviscid
/tmp/nswork/ns-singularity-certificate-lab/outputs/hou_early_time_v1/checkpoints/checkpoint_nr65_nz128_t002.npz,a7d9a63c54abf086bf09c67041330956765327b339258e97d6a5528ffe003663,65,128,0.001,0.0005,0.08976364135742188,112.14972003137167,0.23405446286542156,0.15427248433831936,117865.32156728093,147263.9890786795,204565.71465324462,97.8120280236795,123837.41640556164,28447.721713025465,0.060553757853933673,0.35198112919970875,0.42236327112821737,time_inviscid,2704668.057370026,5136436.035849253,6636258.7648156,4389.22118188696,2813023.700875841,881359.9199926162,0.060860033728756105,0.23894475721200026,0.6197088129319164,time_inviscid,393189.21547681064,474169.87568086706,672195.8233358334,326.1844127559137,413124.95537725114,94945.408118598,0.06165762290740173,0.3603779803701477,0.42242037001726124,time_inviscid,8977570.288080724,17093197.776267093,22041641.43303318,14648.566739485517,9345990.192103611,2940962.615310532,0.0611082981925103,0.23881509112940386,0.621706412946982,time_inviscid
/tmp/nswork/ns-singularity-certificate-lab/outputs/hou_early_time_v1/checkpoints/checkpoint_nr65_nz128_t003.npz,3b596a6c95b47e3b83ddef1f3eb0d1bc65c0f4d43a913bcbb3b0490a3ebfd967,65,128,0.0015,0.0005,0.10536956787109375,109.3688953003491,0.24615815788088274,0.16244436704229603,95971.81392158335,176953.10032739883,226485.98034836602,154.80710992806456,100887.55890148971,39967.86959919213,0.08000523146925638,0.2500688796249039,0.5800564793905892,time_inviscid,5179319.536891177,6744491.709728297,9892632.066070406,11034.158884541645,5412861.793717837,3958126.882093576,0.18133689003908868,0.3253484115801128,0.8282441262330029,unresolved_or_other,295246.58385867375,530919.4971686183,688687.4003557211,476.7694784899903,310402.11010199774,123125.50594745907,0.08125324883962368,0.2545099660653593,0.5807298859546324,time_inviscid,15952679.953470968,20732050.678212818,30432971.965097375,33991.55062839115,16673044.588672481,12193479.463647678,0.18158111449699074,0.3258680193480277,0.8283313872441803,unresolved_or_other
/tmp/nswork/ns-singularity-certificate-lab/outputs/hou_early_time_v1/checkpoints/checkpoint_nr65_nz128_t004.npz,1f9376e110f9ae1d23a08ac677bdd62457b8511491937139d252991c22b31c43,65,128,0.002191729,0.0005,0.12305068969726561,106.88325255623496,0.26073719081109425,0.1691702747870105,194264.70649371413,281117.6099876629,474020.5142371061,520.2807517468563,283050.1314666529,191941.80550271922,0.20206035960704655,0.3748322623192075,0.39644784221700513,unresolved_or_other,15975876.675413348,22552511.087286595,37999818.85878728,82025.48771019018,30039837.835322257,22907096.95844128,0.29900832209711026,0.49609714212607264,0.3714773594747635,unresolved_or_other,553468.0634380578,793906.2663154001,1347883.7637743715,1483.1528480530915,806686.6110467069,547176.0609450213,0.2029026929003161,0.37664131390736527,0.39662670410146056,unresolved_or_other,45542831.84800401,64279696.23820457,108321188.96949588,233833.36476480638,85635771.18981902,65302180.29483739,0.2990333950037586,0.49614908455868373,0.3714568731027425,unresolved_or_other
/tmp/nswork/ns-singularity-certificate-lab/outputs/hou_early_time_v1/checkpoints/checkpoint_nr129_nz256_t000.npz,2847aafc26c210a79ba3100dfee1398f52a17054b730c807356eb950c1287670,129,256,0.0,0.0005,0.06498193740844727,118.56549035318407,0.20851441405707474,0.13990543752075987,133260.1540340738,0.0,0.0,45.070708501809854,0.0,133234.62265548797,0.9994703726937635,0.0,0.3120331781784489,unresolved_or_other,8042898.605894514,0.0,7761734.803881352,0.0,7761734.803881352,1055241.9354572261,0.06676788433476175,1.0,0.2816528289353181,time_inviscid,522745.7244551359,0.0,0.0,175.80976588583763,0.0,522645.43950095307,0.9994720150118126,0.0,0.3116402477040569,unresolved_or_other,31285016.560321074,0.0,30215057.174658723,0.0,30215057.174658723,4125642.408704554,0.06708353597238025,1.0,0.2830868236119175,time_inviscid
/tmp/nswork/ns-singularity-certificate-lab/outputs/hou_early_time_v1/checkpoints/checkpoint_nr129_nz256_t001.npz,0d7be4e7fa98c8b94b2d5d835f484ba678b43bc87c4e17d0fc37f47be8fb6f37,129,256,0.0005,0.0005,0.07370853424072266,115.880600577704,0.21874826462442631,0.14501321425286748,131825.4697899028,98467.96920910782,220762.92707526672,54.50767976803856,180247.18987158535,52519.03393184988,0.11642156504630014,0.5646295266828405,0.3154291007198568,time_inviscid,4024994.172565421,3572506.079997293,5011213.81351763,2657.3473112639645,3703923.564088058,1027943.6579801026,0.08150926844391898,0.43150564208023673,0.5628095465654483,time_inviscid,485455.28951464046,346968.1517366293,806835.1731869212,200.06750140870432,663841.5128480928,193438.30083686297,0.11798912834327199,0.5753506672309842,0.31525413404999464,time_inviscid,14647693.694264306,13135880.583357086,18197461.611712504,9778.482217215456,13439879.028850509,3785484.564612577,0.08230957890917873,0.4289321881202102,0.5681664368215108,time_inviscid
/tmp/nswork/ns-singularity-certificate-lab/outputs/hou_early_time_v1/checkpoints/checkpoint_nr129_nz256_t002.npz,754de83c4e67dfd2885cce08ee97eaca687bab2753a4b963c113b164f0ef64ec,129,256,0.001,0.0005,0.08975601196289062,112.26914739891696,0.23397827520596437,0.1539692588285364,119304.50161277594,152987.19685985358,209963.37276903252,101.0871539361328,125311.17612373197,29417.838082862163,0.06098779412438952,0.3452568658367491,0.4287151468033372,time_inviscid,2984607.284449706,5508166.239001608,7082531.768313214,4797.124484885392,3046763.664848819,1018414.4104337366,0.0653663488997076,0.24198528652492016,0.619073391159876,time_inviscid,398007.2793020355,493703.90519067436,690381.1313405128,337.1330213527652,418058.45377641555,98187.48878517476,0.06204857275390491,0.35306455269558207,0.4287789949522553,time_inviscid,9916060.224133158,18337081.209136803,23536861.274096362,15994.625177946407,10129055.243371991,3398561.3196687317,0.0656016966115576,0.24189399523170735,0.6207408836048742,time_inviscid
/tmp/nswork/ns-singularity-certificate-lab/outputs/hou_early_time_v1/checkpoints/checkpoint_nr129_nz256_t003.npz,e892d205ef63c14693fc7c7488546cc8324d8081b319fbdd2537f98d1cfa76ca,129,256,0.0015,0.0005,0.10410261154174805,109.62168209080072,0.2458467365079416,0.16174313449223574,113688.87405542619,193991.79231827083,249078.00878486462,169.1864327381418,110089.72875212521,66460.79278529673,0.11933465241871635,0.24847039558559106,0.6914952117146107,unresolved_or_other,8047487.381882461,7828646.019524102,11568603.550123915,14328.086812367956,6459851.178463448,7685706.4940578425,0.2798968749782922,0.33302923464837747,0.9479044216179192,unresolved_or_other,352002.40237771993,587985.8766653618,763580.4316846427,524.2364839301747,340827.7476331982,205983.54626189312,0.12087576948131647,0.25217242064082046,0.6921174042647548,unresolved_or_other,24939878.09741891,24223331.48108631,35817291.682594255,44396.10115446086,20019432.73946237,23820540.29317812,0.2801595889223977,0.3334314616436628,0.9479559298621152,unresolved_or_other
/tmp/nswork/ns-singularity-certificate-lab/outputs/hou_early_time_v1/checkpoints/checkpoint_nr129_nz256_t004.npz,0d7d6fcab1482723ceb1bf1e5ac0e868e09d6ae39cbd77880f5fb829ce0a0414,129,256,0.002191729,0.0005,0.11955881118774415,107.71879777948962,0.25895548276504077,0.16693868632699396,285955.7082758605,633652.5821264178,1118240.1108154743,1202.7910587005686,733490.0371114591,609182.014367315,0.29875758719289797,0.4186843406942551,0.380342057210401,unresolved_or_other,28330346.7611973,90644860.43134952,139109912.37095472,346820.8605901623,120249699.17231569,108123285.45230386,0.41838205167237263,0.5233828124901947,0.3725108632518257,unresolved_or_other,826756.4945449984,1828971.979296343,3232460.009431222,3478.5430787500777,2121214.1417946788,1761798.441374497,0.2990322490213049,0.41909367675371023,0.38042590003656207,unresolved_or_other,81933240.86104779,262148326.80181098,402314034.38941824,1003030.2666225935,347770852.3478649,312700389.427242,0.41838501691801216,0.5233868352217742,0.37250381814118866,unresolved_or_other
