nr,nz,step,time,dt,viscosity,energy,enstrophy,max_abs_u1,max_abs_omega1,max_abs_psi1,max_abs_u_r,max_abs_u_z,max_cartesian_vorticity,amplification,argmax_u1_r,argmax_u1_z,argmax_u1_value,circulation_max,divergence_residual_max,axis_parity_defect,odd_symmetry_defect,wall_u1_max_abs,advective_cfl,viscous_cfl
65,128,0.0,0.0,0.0,0.0005,4008.11113236055,773886.7345045686,3265.5332310870513,0.0,0.0,0.0,0.0,7494.3062310458845,1.0,0.0,0.0859375,3265.533231087051,64.88057619110188,0.0,11.361380314832786,6.366462912410498e-12,0.0,0.0,0.0
65,128,25.0,2.5000000000000008e-05,1e-06,0.0005,4008.0788000757125,774407.3543533423,3258.644758307299,5290.650771623793,3.897715452959806,9.225910273506415,7.795430905919612,7498.254432064073,1.0005268267530665,0.0,0.0859375,3258.6447583072986,64.8814888215147,4.101729304495109,74.93804499169346,3.2741809263825417e-11,0.0,0.0009978151559577103,3.2768e-05
65,128,50.0,4.9999999999999955e-05,1e-06,0.0005,4008.0206659863043,775980.046328238,3238.1342839271542,10540.163660139358,7.775652588440332,18.412722466270765,15.551305176880664,7510.244382967687,1.0021267014491317,0.0,0.0859375,3238.134283927154,64.8845231599434,8.147284211140004,147.50014224322513,6.821210263296962e-11,0.0,0.001990567062640725,3.2768e-05
65,128,75.0,7.499999999999989e-05,1e-06,0.0005,4007.9369157236315,778595.3604965543,3204.38899512403,15708.487957218047,11.614483309904227,27.522285452455396,23.228966619808453,7530.226456594281,1.004793002105998,0.0,0.0859375,3204.3889951240294,64.88947436947537,12.082678799944688,215.43399631400825,1.0732037480920553e-10,0.0,0.002973307727335482,3.2768e-05
65,128,100.0,9.999999999999982e-05,1e-06,0.0005,4007.8278756195787,782237.956061672,3158.035100889696,20757.26014463703,15.395678973840553,36.51769037533579,30.791357947681107,7558.119076905288,1.008514843654914,0.0,0.0859375,3158.0351008896955,64.89599812974294,15.857833714330354,276.67807770869695,1.418811734765768e-10,0.0,0.003941293817303181,3.2768e-05
65,128,125.0,0.00012499999999999976,1e-06,0.0005,4007.6940134486617,786887.0764580847,3099.911249363514,25650.532664767747,19.101865862552522,45.363842242443134,38.203731725105044,7593.80935115727,1.013277162294114,0.0,0.0859375,3099.9112493635134,64.90360614204893,19.428168566912518,330.39369360136334,1.964508555829525e-10,0.0,0.004890077660813445,3.2768e-05
65,128,150.0,0.0001499999999999997,1e-06,0.0005,4007.535938543513,792517.1747986356,3031.0341978945276,30355.38733324173,22.717131811172745,54.02797727222034,45.43426362234549,7637.153959739384,1.0190608342239524,0.0,0.0859375,3031.034197894527,64.91165983088938,22.755812918098854,383.04432505054865,2.582964953035116e-10,0.0,0.005815585743660223,3.2768e-05
65,128,175.0,0.00017499999999999962,1e-06,0.0005,4007.3544005864665,799098.6546754539,2952.5592078015607,34842.42484126057,26.22727348072688,62.48011234598607,52.45454696145376,7687.980309708724,1.0258428295684698,0.0,0.0859375,2952.55920780156,64.91936224982324,25.810379699657688,429.6701722589787,2.9831426218152046e-10,0.0,0.00671418201106608,3.2768e-05
65,128,200.0,0.00019999999999999955,1e-06,0.0005,4007.1502863956407,806598.6866265733,2865.7378410701613,39086.13865317129,29.619977852279526,70.69341619070508,59.23995570455905,7746.087957083302,1.033596402158533,0.0,0.0859375,2865.737841070161,64.92574821763252,28.569290077088908,469.61082963319495,3.710738383233547e-10,0.0,0.007582714330183558,3.2768e-05
65,128,225.0,0.00022499999999999948,1e-06,0.0005,4006.9246141429217,814982.0589712186,2771.951528145048,43065.19393355281,32.88493571743116,78.64449547831052,65.76987143486232,7811.250300357067,1.0422913155053914,0.0,0.09375,2771.951528145048,64.92967274174842,31.017679753958873,515.4228440623265,4.0745362639427185e-10,0.0,0.008418543543662378,3.2768e-05
65,128,250.0,0.00024999999999999957,1e-06,0.0005,4006.6785246392733,824212.0230742765,2675.9741285550836,46762.63707013942,36.013888869173286,86.31359262600371,72.02777773834657,7883.216543525847,1.0518941047363215,0.0,0.09375,2675.9741285550836,64.92979783410674,33.14794851490342,570.4380983589217,4.511093720793724e-10,0.0,0.00921955555050836,3.2768e-05
65,128,275.0,0.0002750000000000002,1e-06,0.0005,4006.41326956571,834251.0970356604,2577.088063155608,50166.057626220274,39.00061604277345,93.6846954962329,78.0012320855469,7961.713921344635,1.0623683735210165,0.0,0.1015625,2577.088063155607,64.92457789468159,34.95903454042764,624.2381866665091,4.802132025361061e-10,0.0,0.009984157706950002,3.2768e-05
