nr,nz,step,time,dt,viscosity,energy,enstrophy,max_abs_u1,max_abs_omega1,max_abs_psi1,max_abs_u_r,max_abs_u_z,max_cartesian_vorticity,amplification,argmax_u1_r,argmax_u1_z,argmax_u1_value,circulation_max,divergence_residual_max,axis_parity_defect,odd_symmetry_defect,wall_u1_max_abs,advective_cfl,viscous_cfl
129,256,0.0,0.0,0.0,0.0005,4008.1058608193503,776573.2099139097,3265.5332310870513,0.0,0.0,0.0,0.0,7554.609461872975,1.0,0.0,0.0859375,3265.533231087051,64.92298851688702,0.0,1.4271187913545873,6.366462912410498e-12,0.0,0.0,0.0
129,256,25.0,2.5000000000000008e-05,1e-06,0.0005,4008.083099823372,777108.3793994044,3258.5843200062386,5371.336864804065,3.893422902562027,9.50075613771455,7.786845805124054,7558.841929190723,1.0005602496514359,0.0,0.0859375,3258.584320006238,64.92196730597885,1.0747756884065893,9.607891701976769,7.548806024715304e-11,0.0,0.0019934325261117577,0.000131072
129,256,50.0,4.9999999999999955e-05,1e-06,0.0005,4008.053674888726,778724.939409453,3237.894359168822,10701.072928039182,7.766497982211924,18.95869613686559,15.532995964423847,7571.68839556752,1.0022607301913806,0.0,0.0859375,3237.8943591688217,64.91919137917944,2.134410262305323,18.910767509485595,1.5643308870494366e-10,0.0,0.003976446966892505,0.000131072
129,256,75.0,7.499999999999989e-05,1e-06,0.0005,4008.017614272884,781413.5785881379,3203.8559304525766,15948.725658826712,11.599343338351787,28.332104200278046,23.198686676703574,7593.094977583173,1.0050943090975688,0.0,0.0859375,3203.855930452576,64.91440667294043,3.1643587319890685,27.62299103278201,2.419255906715989e-10,0.0,0.005938863789236115,0.000131072
129,256,100.0,9.999999999999982e-05,1e-06,0.0005,4007.97498306878,785159.1905450971,3157.103816012745,21075.546675744306,15.372904958731176,37.58076289771134,30.745809917462353,7622.973272942498,1.0090492846009507,0.0,0.0859375,3157.1038160127446,64.90718650854808,4.151138740737451,35.65387725667097,3.383320290595293e-10,0.0,0.007870927338870362,0.000131072
129,256,125.0,0.00012499999999999976,1e-06,0.0005,4007.925883438142,789941.3483903082,3098.4878337912537,26045.265594317993,19.069324844220166,46.66663877126896,38.13864968844033,7661.201207056976,1.0141094977472964,0.0,0.0859375,3098.4878337912533,64.90449286089701,5.082759560130398,42.91142490133643,4.3291947804391384e-10,0.0,0.009763494320240724,0.000131072
129,256,150.0,0.0001499999999999997,1e-06,0.0005,4007.8704546476733,795734.9296599502,3029.0377775745014,30824.71143269184,22.675623032628902,55.57405878133868,45.351246065257804,7707.624218405761,1.0202544893028593,0.0,0.0859375,3029.037777574501,64.91296607983239,5.94904337790922,49.17831454286352,5.384208634495735e-10,0.0,0.011609918992705998,0.000131072
129,256,175.0,0.00017499999999999962,1e-06,0.0005,4007.808872725977,802510.8567180553,2949.9230040130997,35384.30475132706,26.17938638030697,64.26986510975624,52.35877276061394,7762.05678501474,1.0274597018136704,0.0,0.0859375,2949.9230040130988,64.92118700898254,6.741823683181792,55.28425848623738,6.366462912410498e-10,0.0,0.013403845826717168,0.000131072
129,256,200.0,0.00019999999999999955,1e-06,0.0005,4007.7413495653177,810236.9128808986,2863.1352572726637,39698.43206585493,29.565859447530556,72.72140113115645,59.13171889506111,7824.284292088803,1.0356967268231188,0.0,0.08984375,2863.1352572726637,64.92820098280261,7.455018569935419,61.067550458945334,7.203198038041592e-10,0.0,0.015137720037135644,0.000131072
129,256,225.0,0.00022499999999999948,1e-06,0.0005,4007.66813132558,818878.5927121822,2770.0548174613523,43765.993823474215,32.824693346592724,80.9051482788748,65.64938669318545,7894.065236669514,1.044933596701421,0.0,0.08984375,2770.0548174613523,64.93287426536739,8.084588471029747,67.20703009655699,7.930793799459934e-10,0.0,0.016806242993455473,0.000131072
