nr,nz,dr,error_psi,order_psi,error_dr,order_dr,error_dz,order_dz,error_u_r,order_u_r,error_u_z,order_u_z,axis_u_r_max,axis_psi_r_max,poisson_residual_max,interior_gradient_tail_bound,velocity_tail_bound
65,129,0.125,0.0007390942172463555,,0.0005713767751085834,,0.0009162413595898353,,0.00023633667304413797,,0.001478188434492711,,0.0,0.0,1.8096635301390052e-14,0.00022140277689147904,0.0017822923539764063
129,257,0.0625,0.00018542169465313868,1.9949482344000877,0.00014016278487681555,2.027339050824607,0.0002260073555772832,2.019357961309792,6.156774301398389e-05,1.940596926355049,0.00037084338930627736,1.9949482344000877,0.0,0.0,9.414691248821327e-14,0.00044964857470560264,0.003608429812012461
257,513,0.03125,4.638281736637356e-05,1.999147692250606,3.487998316324681e-05,2.0066320962324635,5.61461865685349e-05,2.009109783317226,1.5377155684686075e-05,2.001386009961257,9.276563473274713e-05,1.999147692250606,0.0,0.0,5.697664562376303e-13,0.000900772078240486,0.0072174362769018945
