nr,nz,relative_psi,relative_dr,relative_dz,relative_drr,relative_dzz,relative_drz,order_psi,order_dr,order_dz,order_drr,order_dzz,order_drz
161,321,2.512303092404589e-07,2.2618473405145143e-07,2.776106207896104e-07,2.1556281082818653e-07,3.209896714072494e-07,3.7417533431941003e-07,,,,,,
321,641,1.5682495182661897e-08,1.4119524704214393e-08,1.732775103331518e-08,1.3456950642169744e-08,2.0032495603860164e-08,2.333482609077721e-08,4.001783501549521,4.001738130305165,4.001906438855535,4.0016848679393755,4.002112810803472,4.003157838719642
