truncation,evaluation_radius,distance,value_error,value_bound,value_ratio,gradient_error,gradient_bound,gradient_ratio,hessian_error,hessian_bound,hessian_ratio,third_bound
monopole,2.5,0.8037696896868634,0.00018583607837211857,0.021319950879525176,0.008716534077505219,0.00034394725256081573,0.10609980024417744,0.003241733271592007,0.0007952251784499511,1.6500342325286044,0.00048194465470652916,22.17098994893858
monopole,4.0,2.303769689686863,2.249798717015914e-05,0.0003159049702961644,0.07121757897340782,2.4653139895642064e-05,0.0005485009577308978,0.04494639352614811,3.370991714115478e-05,0.0029761056421261237,0.01132685502288571,0.013951889843351046
monopole,6.0,4.303769689686863,3.908196503920385e-06,2.5936812868803386e-05,0.15068144739638137,2.7745412447441332e-06,2.410613461120455e-05,0.11509689502250287,2.45870329132052e-06,7.001459287241297e-05,0.03511701190351839,0.0001756965770807957
dipole,2.5,0.8037696896868634,8.717072617181004e-05,0.044659061775638484,0.0019519157525015823,0.00018608268398863988,0.6945251598290082,0.000267927923639877,0.00047949604480296455,9.332115682385979,5.138127956428953e-05,153.5157507669439
dipole,4.0,2.303769689686863,7.4428492001413595e-06,0.00023087261332186445,0.03223790424100725,9.59800173741994e-06,0.0012526893115411936,0.00766191716413022,1.489099465337777e-05,0.005872568176067898,0.002535686978324422,0.033704932305830555
dipole,6.0,4.303769689686863,9.343420900897132e-07,1.0146648271684381e-05,0.09208381576575621,7.919716244992579e-07,2.947023482692053e-05,0.026873610921342442,8.065618854593338e-07,7.395343131242213e-05,0.010906348375533101,0.00022720284155814993
