axial_case,points_per_unit_radius,smaller_radius,larger_radius,smaller_kr,larger_kr,regime,measured_ratio,oracle_ratio,ratio_relative_error,oracle_comparable
k0,64,1.0,1.5,0.0,0.0,zero_mode,2.2954687343425233,2.2955465587044537,3.390232345115261e-05,True
k0,64,1.5,2.0,0.0,0.0,zero_mode,1.829607917525605,1.8296296296296297,1.1866939446690084e-05,True
k0,64,2.0,3.0,0.0,0.0,zero_mode,2.4545246480610725,2.4545454545454546,8.476715859363617e-06,True
k0,64,3.0,4.0,0.0,0.0,zero_mode,2.037030993309248,2.0370370370370368,2.9669209145488657e-06,True
k0,128,1.0,1.5,0.0,0.0,zero_mode,2.2955270999899158,2.2955465587044537,8.47672396977347e-06,True
k0,128,1.5,2.0,0.0,0.0,zero_mode,1.8296242012580524,1.8296296296296297,2.966923736610478e-06,True
k0,128,2.0,3.0,0.0,0.0,zero_mode,2.454540252745162,2.4545454545454546,2.119251971112714e-06,True
k0,128,3.0,4.0,0.0,0.0,zero_mode,2.0370355260794946,2.0370370370370368,7.417427934409593e-07,True
k0,256,1.0,1.5,0.0,0.0,zero_mode,2.29554169386174,2.2955465587044537,2.1192524695750473e-06,True
k0,256,1.5,2.0,0.0,0.0,zero_mode,1.8296282725148554,1.8296296296296297,7.417428928558779e-07,True
k0,256,2.0,3.0,0.0,0.0,zero_mode,2.4545441540834014,2.4545454545454546,5.298178735077439e-07,True
k0,256,3.0,4.0,0.0,0.0,zero_mode,2.0370366592952265,2.0370370370370368,1.854368886808092e-07,True
Lz1_m1,64,1.0,1.5,6.283185307179586,9.42477796076938,exponential,556.3265550668273,557.793628666775,0.0026301368903304204,True
Lz1_m1,64,1.5,2.0,9.42477796076938,12.566370614359172,exponential,544.9738909947406,546.3799633029822,0.002573433146672537,True
Lz1_m1,64,2.0,3.0,12.566370614359172,18.84955592153876,exponential,291027.1666885074,292547.8423246145,0.005198040853843463,True
Lz1_m1,64,3.0,4.0,18.84955592153876,25.132741228718345,exponential,238.46875,289626.1885031586,0.9991766326407413,False
Lz1_m1,128,1.0,1.5,6.283185307179586,9.42477796076938,exponential,557.4261925755193,557.793628666775,0.0006587312446253238,True
Lz1_m1,128,1.5,2.0,9.42477796076938,12.566370614359172,exponential,546.0278168204621,546.3799633029822,0.0006445084120422058,True
Lz1_m1,128,2.0,3.0,12.566370614359172,18.84955592153876,exponential,292181.6373423366,292547.8423246145,0.001251778100183668,True
Lz1_m1,128,3.0,4.0,18.84955592153876,25.132741228718345,exponential,245.28125,289626.1885031586,0.9991531109418397,False
Lz1_m1,256,1.0,1.5,6.283185307179586,9.42477796076938,exponential,557.7017278196877,557.793628666775,0.0001647577927826179,True
Lz1_m1,256,1.5,2.0,9.42477796076938,12.566370614359172,exponential,546.2918869181539,546.3799633029822,0.0001611998805664737,True
Lz1_m1,256,2.0,3.0,12.566370614359172,18.84955592153876,exponential,292425.546690496,292547.8423246145,0.0004180363565383893,True
Lz1_m1,256,3.0,4.0,18.84955592153876,25.132741228718345,exponential,244.796875,289626.1885031586,0.9991547833562111,False
Lz2_m1,64,1.0,1.5,3.141592653589793,4.71238898038469,exponential,25.300024592460982,25.309497615973658,0.0003742872994325006,True
Lz2_m1,64,1.5,2.0,4.71238898038469,6.283185307179586,exponential,24.124163944910517,24.132461973739947,0.00034385338878640046,True
Lz2_m1,64,2.0,3.0,6.283185307179586,9.42477796076938,exponential,557.4261925156487,557.7936286667871,0.000658731351981518,True
Lz2_m1,64,3.0,4.0,9.42477796076938,12.566370614359172,exponential,546.0278198315914,546.3799633094188,0.000644502912761496,True
Lz2_m1,128,1.0,1.5,3.141592653589793,4.71238898038469,exponential,25.307128457701005,25.309497615973658,9.360747923966058e-05,True
Lz2_m1,128,1.5,2.0,4.71238898038469,6.283185307179586,exponential,24.130386750696783,24.132461973739947,8.599300997230072e-05,True
Lz2_m1,128,2.0,3.0,6.283185307179586,9.42477796076938,exponential,557.7017276901995,557.7936286667871,0.0001647580249477296,True
Lz2_m1,128,3.0,4.0,9.42477796076938,12.566370614359172,exponential,546.2918369357506,546.3799633094188,0.000161291371547546,True
Lz2_m1,256,1.0,1.5,3.141592653589793,4.71238898038469,exponential,25.308905269969284,25.309497615973658,2.3404099653119312e-05,True
Lz2_m1,256,1.5,2.0,4.71238898038469,6.283185307179586,exponential,24.131943123227487,24.132461973739947,2.150010691095786e-05,True
Lz2_m1,256,2.0,3.0,6.283185307179586,9.42477796076938,exponential,557.7706509589227,557.7936286667871,4.119392313475642e-05,True
Lz2_m1,256,3.0,4.0,9.42477796076938,12.566370614359172,exponential,546.3579682004619,546.3799633094188,4.0256068000249266e-05,True
Lz4_m1,64,1.0,1.5,1.5707963267948966,2.356194490192345,crossover,5.938591667213263,5.9390640455567505,7.953750622387398e-05,True
Lz4_m1,64,1.5,2.0,2.356194490192345,3.141592653589793,crossover,5.305604374848473,5.305899564766623,5.563428303660573e-05,True
Lz4_m1,64,2.0,3.0,3.141592653589793,4.71238898038469,exponential,25.307131763990107,25.309500921237237,9.360742649582443e-05,True
Lz4_m1,64,3.0,4.0,4.71238898038469,6.283185307179586,exponential,24.13046267102408,24.132537876045518,8.599199272354804e-05,True
Lz4_m1,128,1.0,1.5,1.5707963267948966,2.356194490192345,crossover,5.9389459319049065,5.9390640455567505,1.9887586821422473e-05,True
Lz4_m1,128,1.5,2.0,2.356194490192345,3.141592653589793,crossover,5.305825759994174,5.305899564766623,1.390994525022857e-05,True
Lz4_m1,128,2.0,3.0,3.141592653589793,4.71238898038469,exponential,25.308908575501263,25.309500921237237,2.3404085991959723e-05,True
Lz4_m1,128,3.0,4.0,4.71238898038469,6.283185307179586,exponential,24.132019029861553,24.132537876045518,2.149985992480949e-05,True
Lz4_m1,256,1.0,1.5,1.5707963267948966,2.356194490192345,crossover,5.939034515939918,5.9390640455567505,4.972099409293442e-06,True
Lz4_m1,256,1.5,2.0,2.356194490192345,3.141592653589793,crossover,5.305881113106161,5.305899564766623,3.4775743936613423e-06,True
Lz4_m1,256,2.0,3.0,3.141592653589793,4.71238898038469,exponential,25.309352831144736,25.309500921237237,5.85116604877244e-06,True
Lz4_m1,256,3.0,4.0,4.71238898038469,6.283185307179586,exponential,24.132408161342195,24.132537876045518,5.375095814195972e-06,True
Lz8_m1,64,1.0,1.5,0.7853981633974483,1.1780972450961724,crossover,3.2419341042495247,3.2420680231109706,4.130661679253635e-05,True
Lz8_m1,64,1.5,2.0,1.1780972450961724,1.5707963267948966,crossover,2.7111044466054466,2.711153536086071,1.8106492299694258e-05,True
Lz8_m1,64,2.0,3.0,1.5707963267948966,2.356194490192345,crossover,5.940470504998429,5.940588565415854,1.9873521979247658e-05,True
Lz8_m1,64,3.0,4.0,2.356194490192345,3.141592653589793,crossover,5.3128873262169,5.3129609344159086,1.3854458919904614e-05,True
Lz8_m1,128,1.0,1.5,0.7853981633974483,1.1780972450961724,crossover,3.242034538528656,3.2420680231109706,1.0328155385930602e-05,True
Lz8_m1,128,1.5,2.0,1.1780972450961724,1.5707963267948966,crossover,2.7111412628575535,2.711153536086071,4.526939678675638e-06,True
Lz8_m1,128,2.0,3.0,1.5707963267948966,2.356194490192345,crossover,5.940559049107635,5.940588565415854,4.968583145235181e-06,True
Lz8_m1,128,3.0,4.0,2.356194490192345,3.141592653589793,crossover,5.312942531898944,5.3129609344159086,3.4637026681851185e-06,True
Lz8_m1,256,1.0,1.5,0.7853981633974483,1.1780972450961724,crossover,3.2420596516801115,3.2420680231109706,2.5821268398791205e-06,True
Lz8_m1,256,1.5,2.0,1.1780972450961724,1.5707963267948966,crossover,2.7111504677428186,2.711153536086071,1.1317482435153847e-06,True
Lz8_m1,256,2.0,3.0,1.5707963267948966,2.356194490192345,crossover,5.940581186348853,5.940588565415854,1.2421440939284005e-06,True
Lz8_m1,256,3.0,4.0,2.356194490192345,3.141592653589793,crossover,5.312956333837927,5.3129609344159086,8.659160190474013e-07,True
Lz16_m1,64,1.0,1.5,0.39269908169872414,0.5890486225480862,crossover,2.5710501755743684,2.5711415456863183,3.553678796996307e-05,True
Lz16_m1,64,1.5,2.0,0.5890486225480862,0.7853981633974483,crossover,2.081068656349964,2.0810958021532953,1.3043995044975834e-05,True
Lz16_m1,64,2.0,3.0,0.7853981633974483,1.1780972450961724,crossover,3.2685459591313473,3.2685794920255975,1.0259164365450774e-05,True
Lz16_m1,64,3.0,4.0,1.1780972450961724,1.5707963267948966,crossover,2.7671307179484788,2.7671429051941394,4.4042704255638284e-06,True
Lz16_m1,128,1.0,1.5,0.39269908169872414,0.5890486225480862,crossover,2.5711186999784705,2.5711415456863183,8.885433742863118e-06,True
Lz16_m1,128,1.5,2.0,0.5890486225480862,0.7853981633974483,crossover,2.081089015253524,2.0810958021532953,3.2612144832782193e-06,True
Lz16_m1,128,2.0,3.0,0.7853981633974483,1.1780972450961724,crossover,3.2685711085138536,3.2685794920255975,2.5648792585216572e-06,True
Lz16_m1,128,3.0,4.0,1.1780972450961724,1.5707963267948966,crossover,2.767139858344647,2.7671429051941394,1.1010813668284682e-06,True
Lz16_m1,256,1.0,1.5,0.39269908169872414,0.5890486225480862,crossover,2.571135834063743,2.5711415456863183,2.221434516091317e-06,True
Lz16_m1,256,1.5,2.0,0.5890486225480862,0.7853981633974483,crossover,2.0810941054032392,2.0810958021532953,8.153156881375471e-07,True
Lz16_m1,256,2.0,3.0,0.7853981633974483,1.1780972450961724,crossover,3.268577396141125,3.2685794920255975,6.412218144777846e-07,True
Lz16_m1,256,3.0,4.0,1.1780972450961724,1.5707963267948966,crossover,2.7671421434908674,2.7671429051941394,2.752670527359449e-07,True
Lz32_m1,64,1.0,1.5,0.19634954084936207,0.2945243112740431,algebraic,2.371215860618153,2.371297219907092,3.4310034295071654e-05,True
Lz32_m1,64,1.5,2.0,0.2945243112740431,0.39269908169872414,algebraic,1.8978534757849865,1.8978765134414206,1.213864878505878e-05,True
Lz32_m1,64,2.0,3.0,0.39269908169872414,0.5890486225480862,crossover,2.659271851083376,2.6592953337073073,8.830393387864559e-06,True
Lz32_m1,64,3.0,4.0,0.5890486225480862,0.7853981633974483,crossover,2.2154760454336517,2.2154831220919986,3.1941829194300253e-06,True
Lz32_m1,128,1.0,1.5,0.19634954084936207,0.2945243112740431,algebraic,2.3712768773137425,2.371297219907092,8.578677180827289e-06,True
Lz32_m1,128,1.5,2.0,0.2945243112740431,0.39269908169872414,algebraic,1.897870753655105,1.8978765134414206,3.034858313952727e-06,True
Lz32_m1,128,2.0,3.0,0.39269908169872414,0.5890486225480862,crossover,2.6592894628468717,2.6592953337073073,2.2076752292835874e-06,True
Lz32_m1,128,3.0,4.0,0.5890486225480862,0.7853981633974483,crossover,2.215481352899335,2.2154831220919986,7.985584028329204e-07,True
Lz32_m1,256,1.0,1.5,0.19634954084936207,0.2945243112740431,algebraic,2.3712921340868776,2.371297219907092,2.1447417774564824e-06,True
Lz32_m1,256,1.5,2.0,0.2945243112740431,0.39269908169872414,algebraic,1.897875073472653,1.8978765134414206,7.587262697861441e-07,True
Lz32_m1,256,2.0,3.0,0.39269908169872414,0.5890486225480862,crossover,2.659293865982694,2.6592953337073073,5.519223813911293e-07,True
Lz32_m1,256,3.0,4.0,0.5890486225480862,0.7853981633974483,crossover,2.2154826797954907,2.2154831220919986,1.9963885233553953e-07,True
