axial_case,points_per_unit_radius,wall_radius,kr,nr,response_max_abs,response_relative_to_reference_core_max,argmax_r,argmax_z,response_spread_over_abs_mean,oracle_amplitude,oracle_predicted_response,floor_margin,oracle_comparable
Lz4_m1,256,1.0,1.5707963267948966,257,0.0008875339529506531,0.041229992631211104,0.8984375,2.0,0.24874271630620154,0.2379372676713324,0.0008875339529506531,11605211215650.664,True
Lz4_m1,256,1.5,2.356194490192345,385,0.00014944078041112226,0.006942204582336225,0.8984375,2.0,0.2487427163059912,0.040063091734015344,0.00014944003737670626,1954047157368.6736,True
Lz4_m1,256,2.0,3.141592653589793,513,2.816512040610666e-05,0.001308398065156068,0.8984375,2.0,0.2487427163055609,0.0075506690703402895,2.8164882420513606e-05,368278203067.4607,True
Lz4_m1,256,3.0,4.71238898038469,769,1.1128344764093582e-06,5.16962276311547e-05,0.8984375,0.0,0.24874271628800676,0.0002983333845198232,1.1128185620159902e-06,14550986375.17731,True
Lz4_m1,256,4.0,6.283185307179586,1025,4.611369362598518e-08,2.142191002469745e-06,0.8984375,0.0,0.24874271533714884,1.2362288046627513e-05,4.611278630253796e-08,602961298.5553806,True
Lz8_m1,64,1.0,0.7853981633974483,65,0.0015710784018137362,0.06610253210897696,0.890625,0.0,0.061147200572944,2.0912990535805593,0.0015710784018137362,18606208685889.68,True
Lz8_m1,64,1.5,1.1780972450961724,97,0.0004846114545494209,0.020389844451905982,0.890625,0.0,0.06114720057296516,0.6450509485528391,0.0004845914368897746,5738993924018.855,True
Lz8_m1,64,2.0,1.5707963267948966,129,0.000178750566086157,0.00752086275297728,0.890625,0.0,0.0611472005728952,0.23792490538328576,0.00017873994609296458,2116808896151.2283,True
Lz8_m1,64,3.0,2.356194490192345,193,3.00903044524424e-05,0.0012660382282260432,0.890625,0.0,0.06114720057231493,0.040050729445968714,3.0087918751608143e-05,356329827060.3339,True
Lz8_m1,64,4.0,3.141592653589793,257,5.663644381080548e-06,0.00023829570448043736,0.890625,0.0,0.061147200570213854,0.007538306782293662,5.663116880213974e-06,67068030700.569756,True
