nr,dr,relative_l2_error,max_error,order_from_previous
33,0.15625,0.0008804028753337372,0.0016719060565005828,
65,0.078125,0.00022099898476018887,0.00043253542829502223,1.99412411489383
129,0.0390625,5.5310340510584766e-05,0.0001087983871879139,1.9984186131341382
