level_index,requested_dt,effective_dt,step,time,dt,viscosity,energy,enstrophy,max_abs_u1,max_abs_omega1,max_abs_psi1,max_abs_u_r,max_abs_u_z,max_cartesian_vorticity,amplification,argmax_u1_r,argmax_u1_z,argmax_u1_value,circulation_max,divergence_residual_max,axis_parity_defect,odd_symmetry_defect,wall_u1_max_abs,advective_cfl,viscous_cfl,divergence_relative_denominator,divergence_residual_relative,divergence_residual_argmax_r,divergence_residual_argmax_z,divergence_pointwise_ratio_max,divergence_pointwise_ratio_argmax_r,divergence_pointwise_ratio_argmax_z,axis_parity_defect_u1,axis_parity_defect_omega1,axis_parity_relative_u1,axis_parity_relative_omega1,axis_parity_relative_denominator_u1,axis_parity_relative_denominator_omega1,axis_parity_argmax_z_u1,axis_parity_argmax_z_omega1,argmax_cartesian_vorticity_r,argmax_cartesian_vorticity_z
0,6e-07,5.999805639200657e-07,0.0,0.0,0.0,0.0005,4008.11113236055,773886.7345045686,3265.5332310870513,0.0,0.0,0.0,0.0,7494.3062310458845,1.0,0.0,0.0859375,3265.533231087051,64.88057619110188,0.0,11.361380314832786,6.366462912410498e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.361380314832786,0.0,0.0009388669913412475,0.0,12101.160675168838,0.0,0.9140625,0.0,0.171875,0.0
0,6e-07,5.999805639200657e-07,25.0,1.4999514098001637e-05,5.999805639200657e-07,0.0005,4008.094835560796,774072.5220946182,3263.048156881806,3176.9392204148876,2.339825027705078,5.537892626526097,4.679650055410156,7495.70835079562,1.000187091333942,0.0,0.0859375,3263.0481568818054,64.88086228538265,2.4645809106230843,45.11513241221837,2.1373125491663814e-11,0.0,0.00035938548213677467,1.9660163118532714e-05,306.14414620994296,0.008050393715295673,0.0,0.0,0.022727035177099487,0.0,0.1953125,11.254098358214833,45.11513241221837,0.000930642575874009,0.0027535569600240398,12092.825591657027,16384.31057254196,0.9140625,0.96875,0.171875,0.0
0,6e-07,5.999805639200657e-07,50.0,2.9999028196003263e-05,5.999805639200657e-07,0.0005,4008.069235421558,774637.891942898,3255.6243120761483,6344.9317663152715,4.675358171133203,11.067273558564429,9.350716342266406,7500.009821598736,1.0007610565110383,0.0,0.0859375,3255.624312076148,64.88193043097938,4.916935420788036,89.71128552273149,4.274625098332763e-11,0.0,0.0007181117522034652,1.9660163118532714e-05,611.4944508788932,0.008040850434081597,0.0,0.0,0.022779774599876353,0.0,0.8046875,10.936475103255361,89.71128552273149,0.0009062466203733564,0.002742130174331819,12067.879600753426,32715.910558327756,0.0859375,0.03125,0.171875,0.0
0,6e-07,5.999805639200657e-07,75.0,4.499854229400489e-05,5.999805639200657e-07,0.0005,4008.0343538744187,775581.5967892843,3243.3126310461275,9495.178025660449,7.002354493581773,16.579793988214362,14.004708987163546,7507.204104339448,1.0017210229867755,0.0,0.0859375,3243.312631046127,64.88375418744081,7.3450545674267005,133.28309744922444,6.548361852765083e-11,0.0,0.001075526809043814,1.9660163118532714e-05,915.2711535325076,0.008025003889916461,0.0,0.0,0.022873287017767453,0.0,0.1953125,10.41766394773731,133.28309744922444,0.0008662383831202738,0.0027232402680134548,12026.324566930278,48942.83439281382,0.0859375,0.96875,0.171875,0.0
0,6e-07,5.999805639200657e-07,100.0,5.999805639200652e-05,5.999805639200657e-07,0.0005,4007.990230996263,776901.5905372624,3226.1970287254885,12619.013723951099,9.316632756961969,22.067203505933144,18.633265513923938,7517.280474493829,1.0030655597382412,0.0,0.0859375,3226.197028725488,64.88628936222263,9.737245891533576,175.34270602924516,8.549250196665525e-11,0.0,0.0014309884352916987,1.9660163118532714e-05,1216.7093828263953,0.008002934824842165,0.0,0.0,0.02301826946447006,0.0,0.1953125,9.736577030213084,175.34270602924516,0.0008135397233169493,0.0026970086127191305,11968.164247119108,65013.773112301715,0.09375,0.96875,0.171875,0.0
0,6e-07,5.999805639200657e-07,125.0,7.49975704900083e-05,5.999805639200657e-07,0.0005,4007.936925073192,778595.0515523264,3204.3930781204667,15707.97395078858,11.614105938552026,27.52139767658013,23.22821187710405,7530.224051631834,1.004792681200717,0.0,0.0859375,3204.3930781204663,64.88947380144418,12.082280613007697,215.42615694890264,1.0550138540565968e-10,0.0,0.001783868884592596,1.9660163118532714e-05,1515.0662281232399,0.007974754099016778,0.0,0.0,0.02323286968988021,0.0,0.8046875,8.949237993001589,215.42615694890264,0.0007524537790777393,0.0026635808043581734,11893.405604222506,80878.40120953738,0.890625,0.96875,0.171875,0.0
0,6e-07,5.999805639200657e-07,150.0,8.99970845880101e-05,5.999805639200657e-07,0.0005,4007.874512669595,780658.4145349342,3178.046212400746,18753.85325364839,13.890810254186091,32.934464000486535,27.781620508372182,7546.015840623284,1.0068998527659823,0.0,0.0859375,3178.0462124007454,64.89322709655929,14.369528511361864,253.09729702258483,1.2732925824820995e-10,0.0,0.0021335593394209798,1.9660163118532714e-05,1809.62740528638,0.00794060062827565,0.0,0.0,0.02354756179170622,0.0,0.8046875,8.22002719201555,253.09729702258483,0.000696490845164142,0.002623104189752562,11802.060643134995,96487.70262780128,0.875,0.96875,0.171875,0.0
0,6e-07,5.999805639200657e-07,175.0,0.0001049965986860119,5.999805639200657e-07,0.0005,4007.8030886868983,783087.4102934101,3147.329501544559,21748.76086441129,16.142932255837064,38.29872577184089,32.28586451167413,7564.632784691528,1.0093839978615111,0.0,0.0859375,3147.3295015445588,64.89745020685582,16.589077270634334,287.9487248627702,1.4915713109076023e-10,0.0,0.002479474073134218,1.9660163118532714e-05,2099.7134020385092,0.007900638846486768,0.0,0.0,0.024015328265590066,0.0,0.1953125,7.6349909097043565,287.9487248627702,0.0006528898394182328,0.002575701422251854,11694.148765598235,111794.29508992768,0.1484375,0.96875,0.171875,0.0
0,6e-07,5.999805639200657e-07,200.0,0.00011999611278401369,5.999805639200657e-07,0.0005,4007.722766393826,785877.112587589,3112.441064033569,24685.17040841432,18.366833623782387,43.60678338595447,36.733667247564775,7586.047830481604,1.0122415066328183,0.0,0.0859375,3112.4410640335686,64.90202499776376,18.73183370523475,319.5996678225929,1.7462298274040222e-10,0.0,0.002821054257925883,1.9660163118532714e-05,2384.6850043236454,0.007855055771002154,0.0,0.0,0.02473488978547286,0.0,0.1953125,7.174633600589004,319.5996678225929,0.0006199377589785036,0.0025214416563157857,11573.151492515855,126752.75155467098,0.8359375,0.96875,0.171875,0.0
0,6e-07,5.999805639200657e-07,225.0,0.00013499562688201549,5.999805639200657e-07,0.0005,4007.633677408315,789021.9910850527,3073.6011821224592,27555.96375576994,20.559073334553425,48.85155269365771,41.11814666910685,7610.230005319779,1.0154682462525575,0.0,0.0859375,3073.601182122459,64.90681369508172,20.789605024969887,352.1316569854971,2.0372681319713593e-10,0.0,0.0031577713697124735,1.9660163118532714e-05,2663.948123686241,0.007804057759278829,0.0,0.0,0.025911298144297712,0.0,0.1953125,6.808624683035305,352.1316569854971,0.000593676518054379,0.0024917341032654654,11468.576701246006,141319.91713081335,0.828125,0.0390625,0.171875,0.0
0,6e-07,5.999805639200657e-07,250.0,0.00014999514098001728,5.999805639200657e-07,0.0005,4007.535971610825,792515.9693718044,3031.049194516216,30354.46898551845,22.716426953203325,54.02630005377594,45.43285390640665,7637.144506836154,1.019059572879281,0.0,0.0859375,3031.0491945162157,64.91165825545339,22.755159078110182,383.0318040800048,2.2919266484677792e-10,0.0,0.003489130151329769,1.9660163118532714e-05,2936.9578658847486,0.007747867050607234,0.0,0.0,0.028049087610647873,0.0,0.8046875,6.50006112504343,383.0318040800048,0.0005726235079554745,0.00246393659757174,11351.369677873678,155455.21928506216,0.8203125,0.0390625,0.171875,0.0
0,6e-07,5.999805639200657e-07,275.0,0.00016499465507801908,5.999805639200657e-07,0.0005,4007.4298169693693,796352.4868902293,2985.0402427926606,33074.49271959913,24.835902869479884,59.12467379181212,49.67180573895977,7666.75280510063,1.0230103452859145,0.0,0.0859375,2985.04024279266,64.91637965375243,24.62226328733641,411.76612178003415,2.473825588822365e-10,0.0,0.0038146711063281966,1.9660163118532714e-05,3203.2218018992717,0.0076867181887739534,0.0,0.0,0.032809463680704205,0.0,0.1953125,6.243480466961046,411.76612178003415,0.0005563884886459601,0.002434743160417959,11221.44076372846,169120.96868129144,0.1953125,0.0390625,0.171875,0.0
0,6e-07,5.999805639200657e-07,300.0,0.00017999416917602087,5.999805639200657e-07,0.0005,4007.315399258416,800524.563640019,2935.841947672658,35710.34732209383,26.914755369641306,64.14073183304599,53.82951073928261,7699.012757384421,1.027314940172917,0.0,0.0859375,2935.8419476726576,64.9207770884915,26.385702724003295,438.2072772511747,2.6557245291769505e-10,0.0,0.00413397250673869,1.9660163118532714e-05,3462.3024233093033,0.007620854419407874,0.0,0.0,0.058368936805583874,0.046875,0.1953125,6.022629280669207,438.2072772511747,0.0005436222648018036,0.0024039988623372156,11078.702383289921,182282.64751554036,0.203125,0.0390625,0.171875,0.0
0,6e-07,5.999805639200657e-07,325.0,0.00019499368327402267,5.999805639200657e-07,0.0005,4007.1929216564795,805024.8664720233,2883.7310884618696,38256.87362969165,28.950494506411847,69.06896533966953,57.90098901282369,7733.878735604472,1.031967269173781,0.0,0.0859375,2883.731088461869,64.92462710698435,28.041278416870227,462.18873334978707,2.9103830456733704e-10,0.0,0.004446651909048766,1.9660163118532714e-05,3713.818783916028,0.00755052415005079,0.0,0.0,0.07380648235052903,0.0,0.8046875,5.8310523047694005,462.18873334978707,0.0005338289389594313,0.0023713030299478133,10923.07269091782,194909.18179274572,0.203125,0.0390625,0.171875,0.0
0,6e-07,5.999805639200657e-07,350.0,0.00020999319737202447,5.999805639200657e-07,0.0005,4007.0626042106705,809845.7758292226,2828.990353972335,40709.45996700995,30.940892796682697,73.90431824281922,61.88178559336539,7771.301766437315,1.0369607975510728,0.0,0.0859375,2828.990353972334,64.92768265278046,29.585787535667578,483.4850811678916,3.055902197957039e-10,0.0,0.00475236718293606,1.9660163118532714e-05,3957.447347785066,0.007475977552102209,0.0,0.0,0.016258891066649933,0.0,0.9609375,5.664033234577801,483.4850811678916,0.0005246968659115414,0.0023359792281746235,10794.867670379223,206973.19365536293,0.7890625,0.0390625,0.171875,0.0
0,6e-07,5.999805639200657e-07,375.0,0.00022499271147002626,5.999805639200657e-07,0.0005,4006.9246831604837,814979.4518407336,2771.9798403260447,43064.05819696018,32.883988838090104,78.64220262005549,65.76797767618021,7811.229684003333,1.0422885645698015,0.0,0.09375,2771.9798403260447,64.92967203889422,31.016987510060517,515.4029650683515,3.4924596548080444e-10,0.0,0.0050508170667567225,1.9660163118532714e-05,4192.922080051219,0.007397463372293726,0.0,0.0,0.017796768764734315,0.734375,0.25,5.512370772448776,515.4029650683515,0.0005168436483437516,0.002359350258196792,10665.451321910237,218451.22964585363,0.21875,0.046875,0.171875,0.0
0,6e-07,5.999805639200657e-07,400.0,0.00023999222556802806,5.999805639200657e-07,0.0005,4006.7794101173736,820417.8987506485,2714.986249152835,45317.197460855736,34.77808799000982,83.27850992577186,69.55617598001965,7853.607294923561,1.0479432055217117,0.0,0.09375,2714.986249152835,64.93029785159098,32.333546432981166,548.4575426711235,3.7834979593753815e-10,0.0,0.005341741272142786,1.9660163118532714e-05,4420.033830475162,0.007315226008011175,0.0,0.0,0.01714561512934532,0.0,0.9609375,5.370341693218506,548.4575426711235,0.0005102015175241741,0.002391627726260199,10525.922618338845,229323.96068544895,0.21875,0.046875,0.171875,0.0
