level_index,requested_dt,effective_dt,step_count,observed_step_count,requested_dt_divides_t_final,effective_dt_relative_adjustment,final_recorded_dt,final_step_relative_deviation,nr,nz,dr,dz,completed,final_time,final_amplification,final_max_cartesian_vorticity,final_max_abs_u1,final_max_abs_omega1,final_energy,final_argmax_u1_r,final_argmax_u1_z,final_argmax_cartesian_vorticity_r,final_argmax_cartesian_vorticity_z,maximum_circulation_growth_ratio,maximum_energy_growth_ratio,final_divergence_residual_relative,final_divergence_pointwise_ratio_max,final_axis_parity_relative_u1,final_axis_parity_relative_omega1,final_cross_solver_psi_max_abs_difference,final_cross_solver_psi_relative_difference,final_cross_solver_psi_relative_denominator,final_solver_b_boundary_error_max,final_solver_b_physical_defect_max,maximum_advective_cfl,maximum_viscous_cfl,checkpoint
0,6e-07,5.999805639200657e-07,3653,3653,False,3.2393466557126584e-05,5.999805640518295e-07,2.1961346404168382e-10,65,128,0.015625,0.0078125,True,0.002191729,6.114705324709833,45825.47421598235,7605.070684270334,528682.7173657912,3966.2026002841053,0.046875,0.015625,0.0625,0.0,0.0007663566418190104,0.0,0.04244655903928575,1.0,0.7063752832720193,0.25887763884290504,1.1562510915098585,0.011933883885758612,96.88807957061483,0.0,50375.96068104211,0.014881526945453064,1.966016312285035e-05,checkpoint_dt00_n3653.npz
1,3e-07,2.9999028196003285e-07,7306,7306,False,3.2393466557126584e-05,2.9999028199100344e-07,1.032386610782851e-10,65,128,0.015625,0.0078125,True,0.002191729,6.114678608633501,45825.27399752503,7605.063134115222,528682.5203046731,3966.2025879485586,0.046875,0.015625,0.0625,0.0,0.0007663563241357974,0.0,0.042446469986526056,1.0,0.7063754224877704,0.258879767792663,1.156251897742976,0.011933892459054851,96.88807752458578,0.0,50375.59129547508,0.007440763314730673,9.8300815602812e-06,checkpoint_dt01_n7306.npz
2,1.5e-07,1.4999514098001642e-07,14612,14612,False,3.2393466557126584e-05,1.4999514034086045e-07,4.26117786248073e-09,65,128,0.015625,0.0078125,True,0.002191729,6.114671918938885,45825.22386290498,7605.061241609164,528682.4710165265,3966.2025849358374,0.046875,0.015625,0.0625,0.0,0.0007663562461392992,0.0,0.04244644769938276,1.0,0.706375458703878,0.2588802982502136,1.1562520988618274,0.01193389459787062,96.88807701285873,0.0,50375.49883565848,0.0037203816214783593,4.9150407796331785e-06,checkpoint_dt02_n14612.npz
