nr,nz,dr,dz,weighted_relative_l2_error,max_abs_error,observed_order_from_previous,fourier_matrix_residual_max,physical_cross_stencil_defect_rms,physical_cross_stencil_defect_max,boundary_error_max
17,32,0.10625,0.19634954084936207,0.0019421866831844162,0.0045440839763752905,,9.947598300641403e-13,0.0251436522837974,0.05673546216528447,1.1102230246251565e-16
33,64,0.053125,0.09817477042468103,0.0005002763080098953,0.0011375995487790114,1.9568848432342643,1.0260237104375847e-11,0.006203114222748047,0.014280534159253566,1.1102230246251565e-16
65,128,0.0265625,0.04908738521234052,0.00012697393494842056,0.0002844981598735252,1.9781927583262144,1.1743850336642936e-10,0.0015375728292845268,0.003576192379717291,1.1102230246251565e-16
