nr,nz,source_evidence_dir,initial_snapshot_label,initial_physical_time,final_snapshot_label,final_physical_time,initial_max_cartesian_vorticity_discrete,common_continuum_reference,final_max_cartesian_vorticity,amplification_grid_normalized,amplification_common_reference,discrete_initial_over_continuum_reference,initial_max_r,initial_max_z,continuum_initial_max_r,continuum_initial_max_z,delta_r,delta_z_wrapped,distance,delta_r_in_cells,delta_z_in_cells
65,128,outputs/hou_early_time_v1,t000,0.0,t004,0.002191729,7494.3062310458845,7569.622698194413,45825.94735752267,6.114768458177527,6.053927544955915,0.9900501689249989,0.171875,0.0,0.16439898604938274,-4.629629629629818e-10,0.007476013950617255,4.629629629629818e-10,0.00747601395061727,0.47846489283950433,5.925925925926167e-08
129,256,outputs/hou_early_time_v1,t000,0.0,t004,0.002191729,7554.609461872975,7569.622698194413,95911.01941340044,12.695695243738214,12.670515194407002,0.9980166466784376,0.1640625,0.0,0.16439898604938274,-4.629629629629818e-10,-0.00033648604938274485,4.629629629629818e-10,0.00033648604938306333,-0.04307021432099134,1.1851851851852334e-07
193,384,outputs/hou_early_time_v1,t000,0.0,t004,0.002191729,7561.484634978418,7569.622698194413,118170.54115974967,15.627954940635405,15.61115340503523,0.9989249050394631,0.16666666666666666,0.0,0.16439898604938274,-4.629629629629818e-10,0.0022676806172839126,4.629629629629818e-10,0.00226768061728396,0.4353946785185112,1.7777777777778502e-07
257,512,outputs/hou_early_time_v2_hires,t000,0.0,t004,0.002191729,7565.83950707386,7569.622698194413,130577.14701002798,17.258778340188396,17.250152645147644,0.9995002140435011,0.1640625,0.0,0.16439898604938274,-4.629629629629818e-10,-0.00033648604938274485,4.629629629629818e-10,0.00033648604938306333,-0.08614042864198268,2.370370370370467e-07
