source_evidence_dir,nr,nz,dr,dz,snapshot_label,physical_time,field,peak_r,peak_z,peak_index_r,peak_index_z,peak_magnitude,subgrid_peak_r,subgrid_peak_r_value,subgrid_peak_r_offset_cells,subgrid_peak_r_refined,subgrid_peak_z,subgrid_peak_z_value,subgrid_peak_z_offset_cells,subgrid_peak_z_refined,fwhm_r,points_per_fwhm_r,fwhm_z,points_per_fwhm_z,front_thickness_10_90,points_per_front,peak_to_axis_cells,min_gradient_length_scale,points_per_gradient_scale_r,points_per_gradient_scale_z,gradient_scale_r,gradient_scale_z,z_tail_fraction,z_tail_fraction_r,r_tail_fraction,any_truncation,truncated_fwhm_r_left,truncated_fwhm_r_right,truncated_fwhm_z_left,truncated_fwhm_z_right,truncated_front_90,truncated_front_10
outputs/hou_early_time_v1,65,128,0.015625,0.0078125,t000,0.0,u1,0.0,0.9140625,0,117,3265.5332310870513,0.0,3265.5332310870513,0.0,False,0.915111017464961,3265.7982874595605,0.1342102355150132,True,0.19441390726972652,12.442490065262497,0.2293493581915168,29.35671784851415,0.0,0.0,0,0.007986804993333353,0.5111555195733346,1.0223110391466692,0.171875,0.0078125,4.256735563332817e-21,0.625,1.1599269989722625e-08,True,True,False,False,False,True,True
outputs/hou_early_time_v1,65,128,0.015625,0.0078125,t000,0.0,cartesian_vorticity_magnitude,0.171875,0.0,11,0,7494.3062310458845,0.16447259052527696,7509.240150831893,-0.4737542063822744,True,7.45931094670027e-17,7494.3062310458845,9.547918011776346e-15,True,0.25763478455159167,16.488626211301867,0.09008863217291331,11.531344918132904,0.10470069983726397,6.700844789584894,11,0.007954272726035348,0.5090734544662623,1.0181469089325246,0.0,0.0078125,7.891293576049702e-05,0.0,1.1542072537892795e-05,False,False,False,False,False,False,False
outputs/hou_early_time_v1,65,128,0.015625,0.0078125,t001,0.0005,u1,0.0,0.046875,0,6,2031.880563240985,0.0,2031.880563240985,0.0,False,0.04510754873321262,2034.5461612796498,-0.22623376214878466,True,0.2372182794482355,15.181969884687073,0.3167252783395604,40.54083562746373,0.0,0.0,0,0.008056653213059492,0.5156258056358075,1.031251611271615,0.25,0.0078125,4.600115883276163e-13,0.0,2.595385979453709e-09,True,True,False,False,False,True,True
outputs/hou_early_time_v1,65,128,0.015625,0.0078125,t001,0.0005,cartesian_vorticity_magnitude,0.171875,0.0,11,0,8909.724131695726,0.1680295980960774,8915.733874175132,-0.2461057218510465,True,0.0,8909.724131695726,0.0,True,0.24049452661010343,15.39164970304662,0.10212121492263637,13.071515510097456,0.11036929629151268,7.063634962656812,11,0.00812366007692192,0.5199142449230029,1.0398284898460057,0.0,0.0078125,0.00014463762032227462,0.0,8.525901925193846e-06,False,False,False,False,False,False,False
outputs/hou_early_time_v1,65,128,0.015625,0.0078125,t002,0.001,u1,0.046875,0.0390625,3,5,2186.5437719389006,0.05272558880626123,2189.106558425898,0.3744376836007186,True,0.041941005904389005,2197.5719640311113,0.3684487557617926,True,0.21977392905242668,14.065531459355308,0.062130678103692875,7.952726797272688,0.0,0.0,3,0.008126160329567245,0.5200742610923037,1.0401485221846074,0.0,0.9921875,5.209214911153306e-07,0.0,5.375175517259349e-08,True,True,False,False,False,True,True
outputs/hou_early_time_v1,65,128,0.015625,0.0078125,t002,0.001,cartesian_vorticity_magnitude,0.15625,0.0,10,0,11757.847962516018,0.16165534460103823,11774.946139926644,0.34594205446644644,True,1.3877787807814457e-17,11757.847962516018,1.7763568394002505e-15,True,0.23014286820932586,14.729143565396855,0.09870498774883849,12.634238431851326,0.10335054205675868,6.614434691632556,10,0.012650283495605331,0.8096181437187412,1.6192362874374824,0.078125,0.9140625,0.0002264259937475894,0.0,4.849616622565755e-06,False,False,False,False,False,False,False
outputs/hou_early_time_v1,65,128,0.015625,0.0078125,t003,0.0015,u1,0.0625,0.03125,4,4,2885.6033543617577,0.06670074427505007,2893.5127378642205,0.2688476336032046,True,0.03379928210526566,2900.877444477578,0.3263081094740041,True,0.15702618986885036,10.049676151606423,0.05795152817117381,7.417795605910248,0.04108379175772785,2.629362672494582,4,0.007250393585245343,0.4640251894557019,0.9280503789114039,0.03125,0.09375,4.4273348024487316e-05,0.0,4.535768474701452e-06,True,True,False,False,False,False,True
outputs/hou_early_time_v1,65,128,0.015625,0.0078125,t003,0.0015,cartesian_vorticity_magnitude,0.125,0.0,8,0,16024.956689870989,0.12687493227986119,16029.73532903707,0.11999566591111588,True,8.456776945386935e-16,16024.956689870989,1.0824674490095276e-13,True,0.2258789377119456,14.456252013564518,0.06564982392930427,8.403177462950946,0.07732899436562643,4.9490556394000915,8,0.010181585023436024,0.6516214414999055,1.303242882999811,0.09375,0.9140625,0.0008208648671152913,0.078125,1.4218320584729098e-06,False,False,False,False,False,False,False
outputs/hou_early_time_v1,65,128,0.015625,0.0078125,t004,0.002191729,u1,0.046875,0.984375,3,126,7605.088538790181,0.049906614395446344,7653.547985788177,0.19402332130856603,True,0.9824153368794606,7691.832049525236,-0.25083687942904476,True,0.06868369094865037,4.395756220713624,0.03434373015937975,4.395997460400608,0.04022457108230133,2.5743725492672853,3,0.008413235483632034,0.5384470709524501,1.0768941419049003,0.015625,0.0078125,0.0017623462543224792,0.125,7.499092822206643e-05,True,False,False,False,False,False,True
outputs/hou_early_time_v1,65,128,0.015625,0.0078125,t004,0.002191729,cartesian_vorticity_magnitude,0.0625,0.0,4,0,45825.94735752267,0.06707087326328637,46507.13929100735,0.29253588885032755,True,2.242130092700023e-15,45825.94735752267,2.8699265186560297e-13,True,0.08338772515580548,5.33681440997155,0.03573380029471253,4.573926437723204,0.039891070755340305,2.5530285283417795,4,0.006565142532677315,0.42016912209134816,0.8403382441826963,0.109375,0.03125,0.049845212022014626,0.171875,0.00013411505975494906,False,False,False,False,False,False,False
