source_evidence_dir,nr,nz,snapshot_label,physical_time,field,min_points,points_per_front,points_per_fwhm_r,peak_to_axis_cells,any_truncation,satisfied,reason_count,reasons
outputs/hou_early_time_v1,193,384,t000,0.0,cartesian_vorticity_magnitude,7,20.075828943676925,49.43276037546701,32,False,True,0,
outputs/hou_early_time_v1,193,384,t001,0.0005,u1,7,0.0,44.921552272369894,0,True,False,5,"points per 10-90 front thickness 0.000 is below the preregistered minimum 7 | measurement front_10 was truncated at the sampled boundary, so it is a lower bound rather than a width | measurement front_90 was truncated at the sampled boundary, so it is a lower bound rather than a width | measurement fwhm_r_left was truncated at the sampled boundary, so it is a lower bound rather than a width | the peak sits 0 cells from the axis, below the preregistered minimum 7"
outputs/hou_early_time_v1,193,384,t001,0.0005,cartesian_vorticity_magnitude,7,21.0407944991941,45.88301990940006,32,False,True,0,
outputs/hou_early_time_v1,193,384,t002,0.001,u1,7,0.0,40.38361346162833,10,True,False,4,"points per 10-90 front thickness 0.000 is below the preregistered minimum 7 | measurement front_10 was truncated at the sampled boundary, so it is a lower bound rather than a width | measurement front_90 was truncated at the sampled boundary, so it is a lower bound rather than a width | measurement fwhm_r_left was truncated at the sampled boundary, so it is a lower bound rather than a width"
outputs/hou_early_time_v1,193,384,t002,0.001,cartesian_vorticity_magnitude,7,19.31640863861016,43.51734661967985,30,False,True,0,
outputs/hou_early_time_v1,193,384,t003,0.0015,u1,7,7.895431587357349,27.31831833496472,12,True,False,2,"measurement front_10 was truncated at the sampled boundary, so it is a lower bound rather than a width | measurement fwhm_r_left was truncated at the sampled boundary, so it is a lower bound rather than a width"
outputs/hou_early_time_v1,193,384,t003,0.0015,cartesian_vorticity_magnitude,7,13.79465434905881,41.203057010392,23,False,True,0,
outputs/hou_early_time_v1,193,384,t004,0.002191729,u1,7,4.364122291661473,6.923776126352624,6,False,False,3,"points per 10-90 front thickness 4.364 is below the preregistered minimum 7 | points per radial FWHM 6.924 is below the preregistered minimum 7 | the peak sits 6 cells from the axis, below the preregistered minimum 7"
outputs/hou_early_time_v1,193,384,t004,0.002191729,cartesian_vorticity_magnitude,7,4.429932072177787,8.461774660143522,8,False,False,1,points per 10-90 front thickness 4.430 is below the preregistered minimum 7
outputs/hou_early_time_v2_hires,257,512,t000,0.0,u1,7,0.0,49.75699684773984,0,True,False,5,"points per 10-90 front thickness 0.000 is below the preregistered minimum 7 | measurement front_10 was truncated at the sampled boundary, so it is a lower bound rather than a width | measurement front_90 was truncated at the sampled boundary, so it is a lower bound rather than a width | measurement fwhm_r_left was truncated at the sampled boundary, so it is a lower bound rather than a width | the peak sits 0 cells from the axis, below the preregistered minimum 7"
outputs/hou_early_time_v2_hires,257,512,t000,0.0,cartesian_vorticity_magnitude,7,26.78647987057549,65.9006792057091,42,False,True,0,
outputs/hou_early_time_v2_hires,257,512,t001,0.0005,u1,7,0.0,60.104202985728506,0,True,False,5,"points per 10-90 front thickness 0.000 is below the preregistered minimum 7 | measurement front_10 was truncated at the sampled boundary, so it is a lower bound rather than a width | measurement front_90 was truncated at the sampled boundary, so it is a lower bound rather than a width | measurement fwhm_r_left was truncated at the sampled boundary, so it is a lower bound rather than a width | the peak sits 0 cells from the axis, below the preregistered minimum 7"
outputs/hou_early_time_v2_hires,257,512,t001,0.0005,cartesian_vorticity_magnitude,7,28.02932087120018,61.15954330149524,43,False,True,0,
outputs/hou_early_time_v2_hires,257,512,t002,0.001,u1,7,0.0,53.99250321145508,13,True,False,4,"points per 10-90 front thickness 0.000 is below the preregistered minimum 7 | measurement front_10 was truncated at the sampled boundary, so it is a lower bound rather than a width | measurement front_90 was truncated at the sampled boundary, so it is a lower bound rather than a width | measurement fwhm_r_left was truncated at the sampled boundary, so it is a lower bound rather than a width"
outputs/hou_early_time_v2_hires,257,512,t002,0.001,cartesian_vorticity_magnitude,7,25.709706537354002,57.97385100020065,40,False,True,0,
outputs/hou_early_time_v2_hires,257,512,t003,0.0015,u1,7,10.154363266573124,34.919682253051725,16,True,False,2,"measurement front_10 was truncated at the sampled boundary, so it is a lower bound rather than a width | measurement fwhm_r_left was truncated at the sampled boundary, so it is a lower bound rather than a width"
outputs/hou_early_time_v2_hires,257,512,t003,0.0015,cartesian_vorticity_magnitude,7,18.283975883584823,54.74929790860274,30,False,True,0,
outputs/hou_early_time_v2_hires,257,512,t004,0.002191729,u1,7,5.432857329269624,8.893133804022012,8,False,False,1,points per 10-90 front thickness 5.433 is below the preregistered minimum 7
outputs/hou_early_time_v2_hires,257,512,t004,0.002191729,cartesian_vorticity_magnitude,7,5.6995708959367235,11.555145566218851,10,False,False,1,points per 10-90 front thickness 5.700 is below the preregistered minimum 7
