requested_dt,actual_dt,step_count,nr,dr,relative_l2_error,maximum_absolute_error,analytic_error_order_from_previous,step_doubling_difference_to_next,step_doubling_order_from_previous_difference,initial_energy_per_unit_z,final_energy_per_unit_z,maximum_vorticity_over_time,final_vorticity,auxiliary_boundary_all_time_inner_max_difference,auxiliary_boundary_final_inner_max_difference
0.5,0.5,2,513,0.009765625,0.0008586075859717447,0.001626945390564849,,0.0006537257689976145,,0.39269908193685094,0.27255048623923284,2.0,1.3856349981077594,2.155502114298269e-08,2.155502114298269e-08
0.25,0.25,4,513,0.009765625,0.00020489425454542644,0.00038828669336476995,2.0671193891440116,0.00016117819042736408,2.020029026341283,0.39269908193685094,0.2726696353854122,2.0,1.3881123155021595,5.382547879628774e-09,5.382547879628774e-09
0.125,0.125,8,513,0.009765625,4.382275285253025e-05,8.493973709022828e-05,2.225127510865974,,,0.39269908193685094,0.27269927411349326,2.0,1.3887190094147086,2.0319332189044914e-09,2.0319332189044914e-09
