dt,time,energy_per_unit_z,peak_vorticity
0.5,0.0,0.39269908193685094,2.0
0.5,0.5,0.32442298801365077,1.6503505396770521
0.5,1.0,0.27255048623923284,1.3856349981077594
0.25,0.0,0.39269908193685094,2.0
0.25,0.25,0.35617110144794145,1.8136772642520564
0.25,0.5,0.3245153108017798,1.6522894870136864
0.25,0.75,0.2969016246907041,1.5115649864659113
0.25,1.0,0.2726696353854122,1.3881123155021595
0.125,0.0,0.39269908193685094,2.0
0.125,0.125,0.37377433994737025,1.903580955248191
0.125,0.25,0.35618556517724526,1.8139744583756838
0.125,0.375,0.3398098811585235,1.7305529247282867
0.125,0.5,0.3245382238409482,1.6527595577662508
0.125,0.625,0.31027351892760635,1.5800988211023588
0.125,0.75,0.2969291338544989,1.512128663867569
0.125,0.875,0.2844275580993817,1.4484535834186771
0.125,1.0,0.27269927411349326,1.3887190094147086
