axis_regularity_passed,elliptic_defect_rms,nr,nz,omega1_forced_residual_rms,physical_divergence_rms,spacing,u1_forced_residual_rms,velocity_recovery_rms
True,0.03962902180317279,17,32,0.04690024798760971,0.011284168881602262,0.19634954084936207,0.014278089156424117,0.006222811198192679
True,0.009131169943663385,33,64,0.011580558094436904,0.002364363312503211,0.09817477042468103,0.0035324590817394294,0.0014035841685446548
True,0.0021690295892578936,65,128,0.0028619890735173703,0.0005097027678460712,0.04908738521234052,0.0008767887030309832,0.00032668528394193155
