enlarged,r_max,z_max,boundary_data_error_max,common_interior_max_diff,tail_bound,bound_dominates_boundary_error,bound_dominates_interior_difference,sharpness
radial,5.0,20.0,1.8120921509090303e-06,1.6137608731531651e-06,0.00016346950638324682,True,True,0.01108519987000305
radial,7.5,20.0,3.533293327413501e-07,3.3899071791177056e-07,1.7130914063816788e-05,True,True,0.02062524693224851
radial,11.25,20.0,6.949222726635226e-08,7.454326437193737e-08,2.330660546054676e-06,True,True,0.02981653736919697
axial,20.0,5.0,8.52863201169956e-06,1.6252245846825285e-06,0.00016346950638324682,True,True,0.05217261739143306
axial,20.0,7.5,1.5178111236921173e-06,1.7811144943234887e-07,1.7130914063816788e-05,True,True,0.08860070852249359
axial,20.0,11.25,2.7908100856238767e-07,2.3899955199212664e-08,2.330660546054676e-06,True,True,0.11974331012502606
