boundary_mode,r_max,z_max,nr,nz,dr,dz,interior_relative_l2,interior_max_abs,observed_order_from_previous,boundary_data_error_max,residual_max
zero,8.0,8.0,65,129,0.125,0.125,0.024049194392258368,0.0007330239579532646,,8.582489944227599e-06,3.2307490016592055e-14
zero,8.0,8.0,129,257,0.0625,0.0625,0.01229537149392935,0.00017935265600223238,0.9678732415713853,8.582489944227599e-06,7.460698725481052e-14
zero,8.0,8.0,257,513,0.03125,0.03125,0.009852248379904591,4.031390619941427e-05,0.31959042092373674,8.582489944227599e-06,5.186961971048731e-13
monopole,8.0,8.0,65,129,0.125,0.125,0.01712281357703599,0.0007390942172463555,,1.1570210487359152e-06,1.8096635301390052e-14
monopole,8.0,8.0,129,257,0.0625,0.0625,0.004212598953393643,0.00018542169465313868,2.023137300664306,1.1581692697038297e-06,9.414691248821327e-14
monopole,8.0,8.0,257,513,0.03125,0.03125,0.0010487804163292834,4.638281736637356e-05,2.0059979236460106,1.1582389854108733e-06,5.697664562376303e-13
