points,velocity_max,divergence_max,divergence_order_from_previous,curl_theta_error_max,curl_theta_relative,curl_order_from_previous,curl_axial_max
33,0.06816932199866234,0.0063323834319020805,,0.02089385315697964,0.10509948211437523,,0.000965106587494732
65,0.06884034847048207,0.0017746833156190647,1.83518700964982,0.0063298797830678155,0.031411685583343445,1.7228285673285209,0.0002670532711645029
129,0.0689387221762843,0.00045029228480449046,1.978627940813508,0.0016043252290994514,0.007802377201617552,1.9802114654430159,6.856169406562786e-05
