group,wall_radius,nr,nz,snapshot_index,time,checkpoint,core_max_cartesian_vorticity,core_amplification,core_amplification_denominator,core_argmax_u1_r,core_argmax_u1_z,core_argmax_abs_u1_r,core_argmax_abs_u1_z,core_max_abs_u1,core_max_abs_psi1,core_max_abs_psi1_z,core_energy,tail_max_abs_u1,tail_max_abs_omega1,tail_row_count,global_max_cartesian_vorticity,global_max_abs_u1,global_max_abs_psi1,psi_cross_solver_max_abs_difference,psi_cross_solver_relative_difference,psi_cross_solver_relative_denominator,psi_cross_solver_argmax_r,psi_cross_solver_argmax_z,solver_b_boundary_error_max,solver_b_physical_defect_max
core_dr192,1.0,193,384,0,0.0,checkpoint_core_dr192_R1_t000.npz,7561.484634978418,1.0,7561.484634978418,0.0,0.08333333333333333,0.0,0.08333333333333333,3265.5882935410696,0.0,0.0,4008.105579707901,,,0,7561.484634978418,3265.5882935410696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_dr192,1.0,193,384,1,0.0005,checkpoint_core_dr192_R1_t001.npz,9107.765691451285,1.2044943726156603,7561.484634978418,0.0,0.04427083333333333,0.0,0.9557291666666666,2034.8937585369072,59.842380884596636,1817.3739657913316,4007.179832877759,,,0,9107.765691451285,2034.8937585369072,59.842380884596636,0.006297333658089599,0.0001052320038909168,59.842380884596636,0.005208333333333333,0.71875,0.0,62.09574190634885
core_dr192,1.0,193,384,2,0.001,checkpoint_core_dr192_R1_t002.npz,12334.686702962212,1.6312519694748302,7561.484634978418,0.05208333333333333,0.041666666666666664,0.05208333333333333,0.9583333333333333,2233.3526601604253,81.09059530786678,2293.345100830568,4005.7456590327615,,,0,12334.686702962212,2233.3526601604253,81.09059530786678,0.009599417996563275,0.00011837893112164654,81.09059530786678,0.020833333333333332,0.09635416666666666,0.0,130.0037501705956
core_dr192,1.0,193,384,3,0.0015,checkpoint_core_dr192_R1_t003.npz,17863.270414919174,2.3624025277107714,7561.484634978418,0.0625,0.03125,0.0625,0.96875,3149.8425310488424,89.50094775775162,3254.6339918610083,4003.7769750708444,,,0,17863.270414919174,3149.8425310488424,89.50094775775162,0.036227981150801725,0.0004047776259180903,89.50094775775162,0.005208333333333333,0.033854166666666664,0.0,1028.6415129050456
core_dr192,1.0,193,384,4,0.002191729,checkpoint_core_dr192_R1_t004.npz,118170.54115974967,15.627954940635405,7561.484634978418,0.03125,0.010416666666666666,0.03125,0.010416666666666666,18718.097999802423,157.1715103736634,17741.049183634495,3997.6720243816394,,,0,118170.54115974967,18718.097999802423,157.1715103736634,0.7246116684269737,0.004610324521945893,157.1715103736634,0.005208333333333333,0.9817708333333333,0.0,129772.17405610438
core_dr192,1.5,289,384,0,0.0,checkpoint_core_dr192_R1p5_t000.npz,7561.484634978418,1.0,7561.484634978418,0.0,0.08333333333333333,0.0,0.08333333333333333,3265.5882935410696,0.0,0.0,4008.105579707901,0.0,0.0,77,7561.484634978418,3265.5882935410696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_dr192,1.5,289,384,1,0.0005,checkpoint_core_dr192_R1p5_t001.npz,9107.780804353008,1.2044963712842356,7561.484634978418,0.0,0.04427083333333333,0.0,0.04427083333333333,2034.8894756935533,59.84300005244222,1817.3660133436942,4007.179457927572,2.3387356822228837e-111,3.0137199134493593,77,9107.780804353008,2034.8894756935533,59.84300005244222,0.006297635526706813,0.00010523595944701979,59.84300005244222,0.005208333333333333,0.28125,0.0,62.09603917023924
core_dr192,1.5,289,384,2,0.001,checkpoint_core_dr192_R1p5_t002.npz,12334.77971520505,1.631264270265922,7561.484634978418,0.05208333333333333,0.041666666666666664,0.05208333333333333,0.9583333333333333,2233.3317553470647,81.09165458928959,2293.3193986646866,4005.744199998794,9.397742204422716e-100,5.878433988940763,77,12334.77971520505,2233.3317553470647,81.09165458928959,0.009598942792786502,0.00011837152468281625,81.09165458928959,0.020833333333333332,0.9036458333333333,0.0,130.0074880035245
core_dr192,1.5,289,384,3,0.0015,checkpoint_core_dr192_R1p5_t003.npz,17863.67405261853,2.3624559084579184,7561.484634978418,0.0625,0.03125,0.0625,0.96875,3149.785124985581,89.50224204206918,3254.5741172376497,4003.7737874927275,2.633691579793245e-92,8.605831025507992,77,17863.67405261853,3149.785124985581,89.50224204206918,0.03622636022500103,0.0004047536620141133,89.50224204206918,0.005208333333333333,0.9661458333333333,0.0,1028.743326373271
core_dr192,1.5,289,384,4,0.002191729,checkpoint_core_dr192_R1p5_t004.npz,118189.34690580606,15.6304419847761,7561.484634978418,0.03125,0.010416666666666666,0.03125,0.010416666666666666,18719.970765112637,157.16484647326286,17742.572878318064,3997.66549927612,7.792791392954898e-85,12.105942828343562,77,118189.34690580606,18719.970765112637,157.16484647326286,0.7246236820737977,0.004610596442742505,157.16484647326286,0.005208333333333333,0.9817708333333333,0.0,129823.85163528472
