group,wall_radius,nr,nz,step,time,dt,viscosity,energy,enstrophy,max_abs_u1,max_abs_omega1,max_abs_psi1,max_abs_u_r,max_abs_u_z,max_cartesian_vorticity,amplification,argmax_u1_r,argmax_u1_z,argmax_u1_value,circulation_max,divergence_residual_max,axis_parity_defect,odd_symmetry_defect,wall_u1_max_abs,advective_cfl,viscous_cfl,divergence_relative_denominator,divergence_residual_relative,divergence_residual_argmax_r,divergence_residual_argmax_z,divergence_pointwise_ratio_max,divergence_pointwise_ratio_argmax_r,divergence_pointwise_ratio_argmax_z,axis_parity_defect_u1,axis_parity_defect_omega1,axis_parity_relative_u1,axis_parity_relative_omega1,axis_parity_relative_denominator_u1,axis_parity_relative_denominator_omega1,axis_parity_argmax_z_u1,axis_parity_argmax_z_omega1,argmax_cartesian_vorticity_r,argmax_cartesian_vorticity_z
core_dr192,1.0,193,384,0.0,0.0,0.0,0.0005,4008.105579707902,777074.069444,3265.5882935410696,0.0,0.0,0.0,0.0,7561.484634978418,1.0,0.0,0.08333333333333333,3265.5882935410696,64.94519473172839,0.0,0.4232395925646415,9.407585821463726e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4232395925646415,0.0,3.488209704685288e-05,0.0,12133.433147558622,0.0,0.9166666666666666,0.0,0.16666666666666666,0.0
core_dr192,1.0,193,384,25.0,2.5000000000000008e-05,1e-06,0.0005,4008.0846547821466,777612.0319139421,3258.5744840062434,5386.38100651739,3.891856992326071,9.556066872129337,7.783713984652142,7565.7956085284095,1.0005701226357122,0.0,0.08333333333333333,3258.5744840062434,64.94499460561251,0.4818716323668468,2.8594549153349362,1.3096723705530167e-10,0.0,0.002988946170106422,0.00029491200000000004,523.1671750525791,0.0009210662582537179,0.0,0.0,0.006382162081903232,0.0,0.8072916666666666,0.4116510960739106,2.8594549153349362,3.399511894226532e-05,0.00010217034741507307,12109.123570740463,27987.131175332426,0.0859375,0.96875,0.16666666666666666,0.0
core_dr192,1.0,193,384,50.0,4.9999999999999955e-05,1e-06,0.0005,4008.060736705656,779237.0134104489,3237.850434452827,10731.073776413883,7.763581635941532,19.06993936074539,15.527163271883063,7578.877873773119,1.0023002412402244,0.0,0.0859375,3237.8504344528264,64.94470565680929,0.9569189965501437,5.62669352843659,2.546585164964199e-10,0.0,0.005962430696403096,0.00029491200000000004,1042.6026937442912,0.0009178174987382468,0.0,0.0,0.007172616243210392,0.0,0.19270833333333331,0.3787821677397005,5.62669352843659,3.1462085063734476e-05,0.00010099203958972555,12039.3218368198,55714.22808465612,0.9088541666666666,0.96875,0.16666666666666666,0.0
core_dr192,1.0,193,384,75.0,7.499999999999989e-05,1e-06,0.0005,4008.033823123416,781939.7336842832,3203.7583084404223,15993.515518997798,11.595499727145643,28.500506551091394,23.190999454291287,7600.676655566973,1.005183111846483,0.0,0.0859375,3203.758308440422,64.94409025972605,1.4185868711560943,8.227697241702117,3.8198777474462986e-10,0.0,0.008905343790447854,0.00029491200000000004,1554.6936729122724,0.0009124542640601211,0.0,0.0,0.009500253826281562,0.0,0.8072916666666666,0.33143951010424644,8.227697241702117,2.7797883980503344e-05,9.92157311201028e-05,11923.192079537737,82927.34578292136,0.10677083333333333,0.033854166666666664,0.16666666666666666,0.0
core_dr192,1.0,193,384,100.0,9.999999999999982e-05,1e-06,0.0005,4008.003928341119,785705.1394257295,3156.933192634091,21134.889085659648,15.368750686298537,37.808115871959004,30.737501372597073,7631.102089622218,1.009206849977815,0.0,0.0859375,3156.9331926340906,64.94274910171693,1.8607994633002818,10.619902280741371,5.020410753786564e-10,0.0,0.011803200527077276,0.00029491200000000004,2056.0205097707317,0.0009050490763381446,0.0,0.0,0.02396184240295439,0.0,0.19270833333333331,0.2895957622822607,10.619902280741371,2.4602628779497446e-05,9.708977393063145e-05,11770.927606061137,109382.2948679339,0.859375,0.033854166666666664,0.16666666666666666,0.0
core_dr192,1.0,193,384,125.0,0.00012499999999999976,1e-06,0.0005,4007.971083500416,790512.8784213144,3098.2268996144226,26118.870872675565,19.065649550132523,46.95524052806287,38.131299100265046,7670.030087240777,1.0143550450079926,0.0,0.0859375,3098.226899614422,64.94011626657156,2.278153576232853,12.738917668350041,5.784386303275824e-10,0.0,0.014642418854501777,0.00029491200000000004,2543.440925971452,0.000895697459677671,0.0,0.0,0.011658377307088413,0.0,0.8072916666666666,0.26111789530841634,12.738917668350041,2.2537630099736342e-05,9.446767490033109e-05,11585.86302787315,134849.48879910872,0.16666666666666666,0.03645833333333333,0.16666666666666666,0.0
core_dr192,1.0,193,384,150.0,0.0001499999999999997,1e-06,0.0005,4007.93533665615,796337.9240278654,3028.671550182584,30912.2546683272,22.669999486000926,55.90707917919998,45.33999897200185,7717.303541104536,1.0206069196259846,0.0,0.0859375,3028.6715501825834,64.93545235224606,2.6660628194995297,14.667933386634104,5.893525667488575e-10,0.0,0.01741055960524871,0.00029491200000000004,3014.1603369487725,0.0008845126076466055,0.0,0.0,0.002660537451291347,0.0,0.1953125,0.24093957878358196,14.667933386634104,2.117619740195167e-05,9.218232168367894e-05,11377.849110972878,159118.72383694898,0.18489583333333331,0.9635416666666666,0.16666666666666666,0.0
core_dr192,1.0,193,384,175.0,0.00017499999999999962,1e-06,0.0005,4007.8967526723623,803151.3150854332,2949.5276737340782,35495.19084393636,26.17037805041631,64.63207106000914,52.34075610083262,7772.733870291404,1.0279375341630366,0.0,0.08854166666666666,2949.5276737340782,64.9287188483869,3.020846013975188,16.440699057653546,8.731149137020111e-10,0.0,0.02009885034271973,0.00029491200000000004,3465.785810892834,0.000871619361035175,0.0,0.0,0.0031469219726883214,0.0625,0.1953125,0.22575879019859713,16.440699057653546,2.023800250231982e-05,9.020807296106746e-05,11155.191337322896,182253.07910910726,0.19791666666666666,0.0390625,0.16666666666666666,0.0
core_dr192,1.0,193,384,200.0,0.00019999999999999955,1e-06,0.0005,4007.8554128572914,810920.9715241485,2862.7834879341676,39880.1397173685,29.555688609613345,73.10626254424768,59.11137721922669,7836.102900190426,1.0363180352098662,0.0,0.08854166666666666,2862.7834879341676,64.93769027732749,3.339758887053449,18.192461056401953,1.1059455573558807e-09,0.0,0.022698768852183047,0.00029491200000000004,3896.3621341249786,0.0008571479683069736,0.0,0.0,0.033400544196192525,0.0,0.1953125,0.2137430462971679,18.192461056401953,1.956507512430972e-05,8.911969238979244e-05,10924.724026824253,204135.1419485563,0.20833333333333331,0.041666666666666664,0.16666666666666666,0.0
core_dr192,1.0,193,384,225.0,0.00022499999999999948,1e-06,0.0005,4007.811414273205,819612.5440823993,2769.557874316096,44016.821059044414,32.81338289951048,81.33435803484537,65.62676579902096,7907.16506919813,1.045715947450404,0.0,0.09114583333333333,2769.557874316096,64.94456651940476,3.6209734800963815,20.079289209097624,1.1641532182693481e-09,0.0,0.02520067806682405,0.00029491200000000004,4304.389752333218,0.0008412280691202773,0.0,0.0,0.0022277633789206815,0.0,0.9609375,0.20387672588549322,20.079289209097624,1.906809361156944e-05,8.943607679956903e-05,10692.0350842935,224509.9508791779,0.78125,0.04427083333333333,0.16666666666666666,0.0
