group,smaller_wall_radius,larger_wall_radius,snapshot_index,time,status,max_abs_difference,relative_difference,relative_denominator,small_core_max_abs_psi1,large_core_max_abs_psi1,argmax_r,argmax_z,source_core_max_abs_omega1
core_dr192,1.0,1.5,0,0.0,measured,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_dr192,1.0,1.5,1,0.0005,measured,0.011015839356615105,0.00018407899581829735,59.84300005356796,59.84230806322171,59.84300005356796,0.8958333333333333,0.25,72245.73339234461
core_dr192,1.0,1.5,2,0.001,measured,0.021824657650058796,0.00026913568059963415,81.09165459382223,81.09025052034364,81.09165459382223,0.8958333333333333,0.25,86204.28069259555
core_dr192,1.0,1.5,3,0.0015,measured,0.03244954012547947,0.0003625556118088377,89.50224205214874,89.50014516493994,89.50224205214874,0.8958333333333333,0.25,145621.80905060237
core_dr192,1.0,1.5,4,0.002191729,measured,0.046638272755200966,0.0002967474839467304,157.16484647119393,157.1651431498175,157.16484647119393,0.8958333333333333,0.25,2421790.697736419
core_dr192,1.0,2.0,0,0.0,measured,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_dr192,1.0,2.0,1,0.0005,measured,0.01103559313602413,0.00018440908580122102,59.84300116274998,59.84230793150205,59.84300116274998,0.8958333333333333,0.25,72245.73333469253
core_dr192,1.0,2.0,2,0.001,measured,0.021863794069662046,0.0002696182938707251,81.09165648880324,81.09024989748778,81.09165648880324,0.8958333333333333,0.25,86204.28052954793
core_dr192,1.0,2.0,3,0.0015,measured,0.03250772950396025,0.0003632057467982205,89.50224436294496,89.50014371550708,89.50224436294496,0.8958333333333333,0.25,145621.8083206871
core_dr192,1.0,2.0,4,0.002191729,measured,0.04672190639620183,0.00029727964616848386,157.16483451989205,157.16513173051885,157.16483451989205,0.8958333333333333,0.25,2421791.5911711417
core_dr192,1.0,3.0,0,0.0,measured,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_dr192,1.0,3.0,1,0.0005,measured,0.011035629366515698,0.00018440969122066373,59.843001164784326,59.84230793126046,59.843001164784326,0.8958333333333333,0.25,72245.73333458594
core_dr192,1.0,3.0,2,0.001,measured,0.02186386584993747,0.0002696191790337792,81.09165649227891,81.09024989634543,81.09165649227891,0.8958333333333333,0.25,86204.2805292551
core_dr192,1.0,3.0,3,0.0015,measured,0.032507836229349996,0.00036320693921357435,89.50224436718322,89.50014371284871,89.50224436718322,0.8958333333333333,0.25,145621.80831934742
core_dr192,1.0,3.0,4,0.002191729,measured,0.046722059789026354,0.0002972806222096044,157.16483449797113,157.16513170957364,157.16483449797113,0.8958333333333333,0.25,2421791.592810633
core_dr192,1.5,2.0,0,0.0,measured,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_dr192,1.5,2.0,1,0.0005,measured,1.97537687562227e-05,3.3009321679071604e-07,59.84300116274998,59.84299992184897,59.84300116274998,0.8958333333333333,0.25,72245.73333469253
core_dr192,1.5,2.0,2,0.001,measured,3.9136327543473626e-05,4.826184251011988e-07,81.09165648880324,81.09165397097235,81.09165648880324,0.8958333333333333,0.25,86204.28052954793
core_dr192,1.5,2.0,3,0.0015,measured,5.8189033372638144e-05,6.501404940939014e-07,89.50224436294496,89.50224060273815,89.50224436294496,0.8958333333333333,0.25,145621.8083206871
core_dr192,1.5,2.0,4,0.002191729,measured,8.363218100243541e-05,5.321303665537869e-07,157.16483451989205,157.164835051886,157.16483451989205,0.8958333333333333,0.25,2421791.5911711417
core_dr192,1.5,3.0,0,0.0,measured,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_dr192,1.5,3.0,1,0.0005,measured,1.9789999228254918e-05,3.3069864216470303e-07,59.843001164784326,59.84299992160741,59.843001164784326,0.8958333333333333,0.25,72245.73333458594
core_dr192,1.5,3.0,2,0.001,measured,3.920810765002669e-05,4.835035976082184e-07,81.09165649227891,81.09165396983003,81.09165649227891,0.8958333333333333,0.25,86204.2805292551
core_dr192,1.5,3.0,3,0.0015,measured,5.829575812947574e-05,6.513329195446454e-07,89.50224436718322,89.50224060007982,89.50224436718322,0.8958333333333333,0.25,145621.80831934742
core_dr192,1.5,3.0,4,0.002191729,measured,8.378557114918639e-05,5.331063492467712e-07,157.16483449797113,157.16483503094076,157.16483449797113,0.8958333333333333,0.25,2421791.592810633
core_dr192,2.0,3.0,0,0.0,measured,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_dr192,2.0,3.0,1,0.0005,measured,3.6230471997522606e-08,6.054253846286551e-10,59.843001164784326,59.84300116250837,59.843001164784326,0.8958333333333333,0.25,72245.73333458594
core_dr192,2.0,3.0,2,0.001,measured,7.178010621999853e-08,8.851725235978256e-10,81.09165649227891,81.09165648766088,81.09165649227891,0.8958333333333333,0.25,86204.2805292551
core_dr192,2.0,3.0,3,0.0015,measured,1.0672475563022754e-07,1.192425468040655e-09,89.50224436718322,89.50224436028664,89.50224436718322,0.8958333333333333,0.25,145621.80831934742
core_dr192,2.0,3.0,4,0.002191729,measured,1.5339014192150557e-07,9.759825880355297e-10,157.16483449797113,157.16483449894685,157.16483449797113,0.8958333333333333,0.25,2421791.592810633
core_dr128,1.0,2.0,0,0.0,measured,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
core_dr128,1.0,2.0,1,0.0005,measured,0.011175341549278638,0.0001867079582499048,59.85466101193539,59.85396737072342,59.85466101193539,0.8984375,0.25,72244.09247786192
core_dr128,1.0,2.0,2,0.001,measured,0.022137257250501523,0.0002729967959982317,81.0898060893173,81.08839888272901,81.0898060893173,0.8984375,0.25,86131.1178442756
core_dr128,1.0,2.0,3,0.0015,measured,0.032908468443135816,0.0003677253779743212,89.49196986190566,89.48986866938822,89.49196986190566,0.8984375,0.25,145788.05593456174
core_dr128,1.0,2.0,4,0.002191729,measured,0.04728087760850247,0.0003002479505718689,157.4727738139384,157.4730711637666,157.4727738139384,0.8984375,0.25,2674806.1647393014
